QID,Wikidata_QID,Geni_IDs,Label,Description,Properties
Q152282,,,Virgo 11,"263rd day of the year in the Gaiad calendar, 11th day of Virgo",5
Q152283,,,Virgo 12,"264th day of the year in the Gaiad calendar, 12th day of Virgo",5
Q152284,,,Virgo 13,"265th day of the year in the Gaiad calendar, 13th day of Virgo",5
Q152285,,,Virgo 14,"266th day of the year in the Gaiad calendar, 14th day of Virgo",5
Q152286,,,Virgo 15,"267th day of the year in the Gaiad calendar, 15th day of Virgo",5
Q152287,,,Virgo 16,"268th day of the year in the Gaiad calendar, 16th day of Virgo",5
Q152288,,,Virgo 17,"269th day of the year in the Gaiad calendar, 17th day of Virgo",5
Q152289,,,Virgo 18,"270th day of the year in the Gaiad calendar, 18th day of Virgo",5
Q15229,,,Daijiin Seikyū,,1
Q152290,,,Virgo 19,"271st day of the year in the Gaiad calendar, 19th day of Virgo",5
Q152291,,,Virgo 20,"272nd day of the year in the Gaiad calendar, 20th day of Virgo",5
Q152292,,,Virgo 21,"273rd day of the year in the Gaiad calendar, 21st day of Virgo",5
Q152293,,,Virgo 22,"274th day of the year in the Gaiad calendar, 22nd day of Virgo",5
Q152294,,,Virgo 23,"275th day of the year in the Gaiad calendar, 23rd day of Virgo",5
Q152295,,,Virgo 24,"276th day of the year in the Gaiad calendar, 24th day of Virgo",5
Q152296,,,Virgo 25,"277th day of the year in the Gaiad calendar, 25th day of Virgo",5
Q152297,,,Virgo 26,"278th day of the year in the Gaiad calendar, 26th day of Virgo",5
Q152298,,,Virgo 27,"279th day of the year in the Gaiad calendar, 27th day of Virgo",5
Q152299,,,Virgo 28,"280th day of the year in the Gaiad calendar, 28th day of Virgo",5
Q1523,,,"Trachichthyiformes (pinecone fishes, slimeheads)",,8
Q15230,,,Guang Zhao Yuan Zun Jiu,,1
Q152300,,,Libra 1,"281st day of the year in the Gaiad calendar, 1st day of Libra",5
Q152301,,,Libra 2,"282nd day of the year in the Gaiad calendar, 2nd day of Libra",5
Q152302,,,Libra 3,"283rd day of the year in the Gaiad calendar, 3rd day of Libra",5
Q152303,,,Libra 4,"284th day of the year in the Gaiad calendar, 4th day of Libra",5
Q152304,,,Libra 5,"285th day of the year in the Gaiad calendar, 5th day of Libra",5
Q152305,,,Libra 6,"286th day of the year in the Gaiad calendar, 6th day of Libra",5
Q152306,,,Libra 7,"287th day of the year in the Gaiad calendar, 7th day of Libra",5
Q152307,,,Libra 8,"288th day of the year in the Gaiad calendar, 8th day of Libra",5
Q152308,,,Libra 9,"289th day of the year in the Gaiad calendar, 9th day of Libra",5
Q152309,,,Libra 10,"290th day of the year in the Gaiad calendar, 10th day of Libra",5
Q15231,,,Fa Hua Si Zun Shun,,1
Q152310,,,Libra 11,"291st day of the year in the Gaiad calendar, 11th day of Libra",5
Q152311,,,Libra 12,"292nd day of the year in the Gaiad calendar, 12th day of Libra",5
Q152312,,,Libra 13,"293rd day of the year in the Gaiad calendar, 13th day of Libra",5
Q152313,,,Libra 14,"294th day of the year in the Gaiad calendar, 14th day of Libra",5
Q152314,,,Libra 15,"295th day of the year in the Gaiad calendar, 15th day of Libra",5
Q152315,,,Libra 16,"296th day of the year in the Gaiad calendar, 16th day of Libra",5
Q152316,,,Libra 17,"297th day of the year in the Gaiad calendar, 17th day of Libra",5
Q152317,,,Libra 18,"298th day of the year in the Gaiad calendar, 18th day of Libra",5
Q152318,,,Libra 19,"299th day of the year in the Gaiad calendar, 19th day of Libra",5
Q152319,,,Libra 20,"300th day of the year in the Gaiad calendar, 20th day of Libra",5
Q15232,,,She Qu Yuan Dian,,1
Q152320,,,Libra 21,"301st day of the year in the Gaiad calendar, 21st day of Libra",5
Q152321,,,Libra 22,"302nd day of the year in the Gaiad calendar, 22nd day of Libra",5
Q152322,,,Libra 23,"303rd day of the year in the Gaiad calendar, 23rd day of Libra",5
Q152323,,,Libra 24,"304th day of the year in the Gaiad calendar, 24th day of Libra",5
Q152324,,,Libra 25,"305th day of the year in the Gaiad calendar, 25th day of Libra",5
Q152325,,,Libra 26,"306th day of the year in the Gaiad calendar, 26th day of Libra",5
Q152326,,,Libra 27,"307th day of the year in the Gaiad calendar, 27th day of Libra",5
Q152327,,,Libra 28,"308th day of the year in the Gaiad calendar, 28th day of Libra",5
Q152328,,,Scorpio 1,"309th day of the year in the Gaiad calendar, 1st day of Scorpio",5
Q152329,,,Scorpio 2,"310th day of the year in the Gaiad calendar, 2nd day of Scorpio",5
Q15233,,,Bao Jing Si Li Jiu,,1
Q152330,,,Scorpio 3,"311th day of the year in the Gaiad calendar, 3rd day of Scorpio",5
Q152331,,,Scorpio 4,"312th day of the year in the Gaiad calendar, 4th day of Scorpio",5
Q152332,,,Scorpio 5,"313th day of the year in the Gaiad calendar, 5th day of Scorpio",5
Q152333,,,Scorpio 6,"314th day of the year in the Gaiad calendar, 6th day of Scorpio",5
Q152334,,,Scorpio 7,"315th day of the year in the Gaiad calendar, 7th day of Scorpio",5
Q152335,,,Scorpio 8,"316th day of the year in the Gaiad calendar, 8th day of Scorpio",5
Q152336,,,Scorpio 9,"317th day of the year in the Gaiad calendar, 9th day of Scorpio",5
Q152337,,,Scorpio 10,"318th day of the year in the Gaiad calendar, 10th day of Scorpio",5
Q152338,,,Scorpio 11,"319th day of the year in the Gaiad calendar, 11th day of Scorpio",5
Q152339,,,Scorpio 12,"320th day of the year in the Gaiad calendar, 12th day of Scorpio",5
Q15234,,,Yi Xian,,1
Q152340,,,Scorpio 13,"321st day of the year in the Gaiad calendar, 13th day of Scorpio",5
Q152341,,,Scorpio 14,"322nd day of the year in the Gaiad calendar, 14th day of Scorpio",5
Q152342,,,Scorpio 15,"323rd day of the year in the Gaiad calendar, 15th day of Scorpio",5
Q152343,,,Scorpio 16,"324th day of the year in the Gaiad calendar, 16th day of Scorpio",5
Q152344,,,Scorpio 17,"325th day of the year in the Gaiad calendar, 17th day of Scorpio",5
Q152345,,,Scorpio 18,"326th day of the year in the Gaiad calendar, 18th day of Scorpio",5
Q152346,,,Scorpio 19,"327th day of the year in the Gaiad calendar, 19th day of Scorpio",5
Q152347,,,Scorpio 20,"328th day of the year in the Gaiad calendar, 20th day of Scorpio",5
Q152348,,,Scorpio 21,"329th day of the year in the Gaiad calendar, 21st day of Scorpio",5
Q152349,,,Scorpio 22,"330th day of the year in the Gaiad calendar, 22nd day of Scorpio",5
Q15235,,,Chi Yuan,,1
Q152350,,,Scorpio 23,"331st day of the year in the Gaiad calendar, 23rd day of Scorpio",5
Q152351,,,Scorpio 24,"332nd day of the year in the Gaiad calendar, 24th day of Scorpio",5
Q152352,,,Scorpio 25,"333rd day of the year in the Gaiad calendar, 25th day of Scorpio",5
Q152353,,,Scorpio 26,"334th day of the year in the Gaiad calendar, 26th day of Scorpio",5
Q152354,,,Scorpio 27,"335th day of the year in the Gaiad calendar, 27th day of Scorpio",5
Q152355,,,Scorpio 28,"336th day of the year in the Gaiad calendar, 28th day of Scorpio",5
Q152356,,,Ophiuchus 1,"337th day of the year in the Gaiad calendar, 1st day of Ophiuchus",5
Q152357,,,Ophiuchus 2,"338th day of the year in the Gaiad calendar, 2nd day of Ophiuchus",5
Q152358,,,Ophiuchus 3,"339th day of the year in the Gaiad calendar, 3rd day of Ophiuchus",5
Q152359,,,Ophiuchus 4,"340th day of the year in the Gaiad calendar, 4th day of Ophiuchus",5
Q15236,,,Zeng Quan,,1
Q152360,,,Ophiuchus 5,"341st day of the year in the Gaiad calendar, 5th day of Ophiuchus",5
Q152361,,,Ophiuchus 6,"342nd day of the year in the Gaiad calendar, 6th day of Ophiuchus",5
Q152362,,,Ophiuchus 7,"343rd day of the year in the Gaiad calendar, 7th day of Ophiuchus",5
Q152363,,,Ophiuchus 8,"344th day of the year in the Gaiad calendar, 8th day of Ophiuchus",5
Q152364,,,Ophiuchus 9,"345th day of the year in the Gaiad calendar, 9th day of Ophiuchus",5
Q152365,,,Ophiuchus 10,"346th day of the year in the Gaiad calendar, 10th day of Ophiuchus",5
Q152366,,,Ophiuchus 11,"347th day of the year in the Gaiad calendar, 11th day of Ophiuchus",5
Q152367,,,Ophiuchus 12,"348th day of the year in the Gaiad calendar, 12th day of Ophiuchus",5
Q152368,,,Ophiuchus 13,"349th day of the year in the Gaiad calendar, 13th day of Ophiuchus",5
Q152369,,,Ophiuchus 14,"350th day of the year in the Gaiad calendar, 14th day of Ophiuchus",5
Q15237,Q314817,6000000011626674938;6000000011626674938,Nakamikado,emperor of Japan,12
Q152370,,,Ophiuchus 15,"351st day of the year in the Gaiad calendar, 15th day of Ophiuchus",5
Q152371,,,Ophiuchus 16,"352nd day of the year in the Gaiad calendar, 16th day of Ophiuchus",5
Q152372,,,Ophiuchus 17,"353rd day of the year in the Gaiad calendar, 17th day of Ophiuchus",5
Q152373,,,Ophiuchus 18,"354th day of the year in the Gaiad calendar, 18th day of Ophiuchus",5
Q152374,,,Ophiuchus 19,"355th day of the year in the Gaiad calendar, 19th day of Ophiuchus",5
Q152375,,,Ophiuchus 20,"356th day of the year in the Gaiad calendar, 20th day of Ophiuchus",5
Q152376,,,Ophiuchus 21,"357th day of the year in the Gaiad calendar, 21st day of Ophiuchus",5
Q152377,,,Ophiuchus 22,"358th day of the year in the Gaiad calendar, 22nd day of Ophiuchus",5
Q152378,,,Ophiuchus 23,"359th day of the year in the Gaiad calendar, 23rd day of Ophiuchus",5
Q152379,,,Ophiuchus 24,"360th day of the year in the Gaiad calendar, 24th day of Ophiuchus",5
Q15238,,,Zheng Qin Ting San Tiao Shi Yin Noniang  (hou Yuan Rong Tian Huang Nohou Gong ),,1
Q152380,,,Ophiuchus 25,"361st day of the year in the Gaiad calendar, 25th day of Ophiuchus",5
Q152381,,,Ophiuchus 26,"362nd day of the year in the Gaiad calendar, 26th day of Ophiuchus",5
Q152382,,,Ophiuchus 27,"363rd day of the year in the Gaiad calendar, 27th day of Ophiuchus",5
Q152383,,,Ophiuchus 28,"364th day of the year in the Gaiad calendar, 28th day of Ophiuchus",5
Q152384,,,Horus 1,1st intercalary day in the Gaiad calendar,5
Q152385,,,Horus 2,2nd intercalary day in the Gaiad calendar,5
Q152386,,,Horus 3,3rd intercalary day in the Gaiad calendar,5
Q152387,,,Horus 4,4th intercalary day in the Gaiad calendar,5
Q152388,,,Horus 5,5th intercalary day in the Gaiad calendar,5
Q152389,,,Horus 6,6th intercalary day in the Gaiad calendar,5
Q15239,,,Si Tiao Jin Zi,,1
Q152390,,,Horus 7,7th intercalary day in the Gaiad calendar,5
Q152391,,,test,,1
Q152392,,,Viros Hesperides,person,7
Q152393,,,Dedos Hesperides,person,6
Q152394,,,Kenan Bios Hesperides,person,7
Q152395,,,Aenos Bios Hesperides,person,7
Q152396,,,Malathan Bios Hesperides,person,7
Q152397,,,Jared Bios Ehēca,person,7
Q152398,,,Maharoch Bios Ehēca,person,7
Q152399,,,Enid Bios Ehēca,person,7
Q1524,,,5 Acanthopterygii,,7
Q15240,Q497625,6000000012926682220;6000000012926682220,Geungusu,Korean Baekje dynasty king from 375 to 384,11
Q152400,,,Pahadok Bios Ehēca,person,7
Q152401,,,Pelod Bios Quiyah,person,7
Q152402,,,Aroch Bios Quiyah,person,7
Q152403,,,Nerod Bios Quiyah,person,7
Q152404,,,Larthok Bios Quiyah,person,7
Q152405,,,Idris Bios Attle,person,7
Q152406,,,Methuselah Bios Attle,person,7
Q152407,,,Lammes Bios Attle,person,7
Q152408,,,Nolah Bios Attle,person,7
Q152409,,,Caynen Viros Hesperides,person,7
Q15241,Q12605357,,A I-bu-in,,7
Q152410,,,Hanos Viros Hesperides,person,7
Q152411,,,Mehuthen Viros Hesperides,person,7
Q152412,,,Irad Viros Ehēca,person,7
Q152413,,,Malathok Viros Ehēca,person,7
Q152414,,,Hanad Viros Ehēca,person,7
Q152415,,,Peladok Viros Ehēca,person,7
Q152416,,,Sarniod Viros Quiyah,person,7
Q152417,,,Alok Viros Quiyah,person,7
Q152418,,,Illod Viros Quiyah,person,7
Q152419,,,Umroch Viros Quiyah,person,7
Q15242,Q497667,,Jinsa,the king of the Baekje dynasty of Korea,9
Q152420,,,Oblas Viros Attle,person,7
Q152421,,,Makusholah Viros Attle,person,7
Q152422,,,Romas Viros Attle,person,7
Q152423,,,Nemla Viros Attle,person,7
Q152424,,,Poxus The Poxvirus,person,8
Q152425,Q19088,,Euka Progenitor of the Eukaryotes,person,10
Q152426,,,Seth son of Euka,person,9
Q152427,,,Azura daughter of Eve,person,9
Q152428,,,Proto-One The First Bridger,person,8
Q152429,,,Proto-Two The Second Bridger,person,7
Q15243,Q28517726,,Gakgan Kim Malgu,,8
Q152430,Q48836623,,Nectarius Neokaryota,person,10
Q152431,,,Anima Scotokaryota,person,9
Q152432,,,Planta Corticata,person,9
Q152433,,,Amoebus Amoebozoa,person,8
Q152434,,,Opisthos Opisthokonta,person,9
Q152435,,,Metamon Metamonada,person,7
Q152436,,,Mygaster the Slime Mold King Myxogastria,person,6
Q152437,,,Holozoa Holozoa,person,9
Q152438,,,Holomys Holomys,person,8
Q152439,,,Mesomycetozoea Mesomycetozoea,person,7
Q15244,Q84575461,,lady Kim Horeo,,7
Q152440,,,Filozoa Filozoa,person,9
Q152441,,,Filasterea Filasterea,person,7
Q152442,,,Choanos Choanozoa,person,8
Q152443,,,Cristidiscoidea Cristidiscoidea,person,6
Q152444,,,Mygus Fungus,person,7
Q152445,,,Metaz Choanozoa,person,7
Q152446,,,Sibhozo Choanozoa,person,7
Q152447,,,Hexadex Choanozoa,person,7
Q152448,,,Eudorinus Choanozoa,person,8
Q152449,,,Sexagesmus Duke of the city of Metaz,person,8
Q15245,Q488160,,Michu of Silla,Ruler of Silla,11
Q152450,,,Pleodoron Duke of the city of Metaz,person,7
Q152451,,,Bytos Duke of the city of Metaz,person,8
Q152452,,,Metaz Metazoa,person,9
Q152453,,,Volvox-Choan The Cancerous one,person,7
Q152454,,,Hyphus Fungus sensuo stricto,person,7
Q152455,,,Rozella basal Fungus,person,7
Q152456,,,Rozellida Rozellida,person,6
Q152457,,,Microsporidia Microsporidia,person,6
Q152458,,,Chytrus Chytrid evolutionary grade,person,7
Q152459,,,Aphelides Aphelidium,person,6
Q15246,Q28503377,,Q28503377,,9
Q152460,,,Symbius Symbiomycota,person,8
Q152461,,,Crown Embryophyta Placeholder surname,person,8
Q152462,,,Charos Embryophyta + Charophyta,person,7
Q152463,,,Vert Viridiplantae,person,7
Q152464,,,Chloros Chlorophyta (check all descendants this part seems wrong),person,7
Q152465,,,Chlorovos bar Chloros,person,7
Q152466,,,Pyramona bar Chloros,person,8
Q152467,,,Utico bar Chloros,person,7
Q152468,,,Chlorodendrus bar Chloros,person,7
Q152469,,,Palmos bar Chloros,person,6
Q15247,Q20780231,,Kim Daeseoji,,7
Q152470,,,Ulvophyceus Ulvophyceae,person,7
Q152471,,,Trebouxes Trebouxiophyceae,person,7
Q152472,,,Chlorophyceus Chlorophyceae,person,7
Q152473,,,Valonius bar Chloros,person,6
Q152474,,,Acetabuler bar Chloros,person,6
Q152475,,,Codius bar Chloros,person,6
Q152476,,,Lettus bar Chloros,person,6
Q152477,,,Cladofer bar Chloros,person,7
Q152478,,,Torasampe bar Chloros,person,6
Q152479,,,Noriko bar Chloros,person,6
Q15248,Q84511282,,Q84511282,,7
Q152480,,,Prasiola bar Chloros,person,6
Q152481,,,Volvox I bar Chloros,person,6
Q152482,,,Nival bar Chloros,person,6
Q152483,,,Chlorococcus bar Chloros,person,7
Q152484,,,Oophila bar Chloros,person,6
Q152485,,,Tetraselma bar Chloros,person,6
Q152486,,,Euglenita Euglenids,person,7
Q152487,,,Alga Rhodophyta + Viridiplantae,person,8
Q152488,,,Plastidus Archaeplastida,person,9
Q152489,,,Glaucon Glaucophyta,person,7
Q15249,Q28527713,,Q28527713,,8
Q152490,,,Cryptina Cryptophyceae,person,7
Q152491,,,Chromista Chromista,person,9
Q152492,,,Ashley Embryophyta,person,9
Q152493,,,Glomer Glomeromycetes,person,9
Q152494,,,Haroses Harosa,person,9
Q152495,,,Haptista Haptista,person,8
Q152496,,,Haptos Haptophyta,person,7
Q152497,,,Haptophyta Haptophyta,person,6
Q152498,,,Centros Centrohelida,person,6
Q152499,,,Rhodes Rhodophyta,person,8
Q1525,,,"Holocentrimorphaceae Holocentriformes (squirrelfish, soldier fishes)",,8
Q15250,Q21059070,,SinYang wang,,7
Q152500,,,Rosa Rhodophyta,person,9
Q152501,,,Florida Florideophyceae,person,8
Q152502,,,Coralline Coralline Algae,person,6
Q152503,,,Heterokon Heterokonta,person,9
Q152504,,,Alveolus Alveolata,person,8
Q152505,,,Rhizar Rhizaria,person,8
Q152506,,,Helios Rhizaria,person,7
Q152507,,,Cercus Cercozoa,person,7
Q152508,,,King Rhizaria,person,7
Q152509,,,Vamphy Endomyxa,person,7
Q15251,Q28527477,,So Deok-wang-hu,,8
Q152510,,,Gromius Gromia,person,6
Q152511,,,Radios Radiolaria,person,7
Q152512,,,Acanthar Acantharea,person,6
Q152513,,,Stylon Sticholonche,person,6
Q152514,,,Polam Radiolaria,person,6
Q152515,,,Polycistina Polycistine,person,6
Q152516,,,Foramer Foraminifera,person,7
Q152517,,,Xenophyophorea Xenophyophorea,person,6
Q152518,,,Nummulus Nummulus,person,6
Q15252,Q84686701,,Queen Hyemyeong,queen consort of Silla,7
Q152520,,,Okra Okra,person,9
Q152521,,,Oomy Oomycota,person,8
Q152522,,,Bigyres Bigyra,person,7
Q152523,,,Ochros Ochrophyta,person,9
Q152524,,,Xanthophyceae Xanthophyceae,person,7
Q152525,,,Golden Algae Golden Algae,person,7
Q152526,,,Oomycota Oomycota,person,1
Q152527,,,Alveolus Alveolata,Gaiad character,9
Q152528,,,Oomycota Oomycota,Gaiad character,7
Q152529,,,Actinofer Actinophryid,Gaiad character,7
Q15253,Q491150,,Gyeomji of Geumgwan Gaya,King of Gaya,9
Q152530,,,Kelpus Kelp,Gaiad character,8
Q152531,,,Diatom Diatom,Gaiad character,8
Q152532,,,Cillofer Ciliophora,Gaiad character,8
Q152533,,,Myzo Myzozoa,Gaiad character,10
Q152534,,,Diana Dinoflagellates,Gaiad character,9
Q152535,,,Malarius Apicomplexa,Gaiad character,8
Q152536,,,Porifer Porifera,Gaiad character,9
Q152537,,,Thallus Rangeomorph,Gaiad character,8
Q152538,,,Cloudi Metazoa,Gaiad character,8
Q152539,,,Wallas Porifera,Gaiad character,8
Q15254,Q12589015,,Q12589015,,6
Q152540,,,Solenos Porifera,Gaiad character,8
Q152541,,,Leucon Porifera,Gaiad character,9
Q152542,,,Vitrius Porifera,Gaiad character,8
Q152543,,,Spongius Porifera,Gaiad character,10
Q152544,,,Aristos Porifera,Gaiad character,10
Q152545,,,Demos Porifera,Gaiad character,8
Q152546,,,Spongillus Spongillida,Gaiad character,8
Q152547,,,Chondrocles Predatory Sponges Chondrocladia,Gaiad character,8
Q152548,,,Anu Porifera,Gaiad character,10
Q152549,,,Calcidoros Calcareous Sponge,Gaiad character,8
Q15255,Q124419127,,Gyehwa of Geumgwan Gaya,queen of Geumgwan Gaya,7
Q152550,,,Enki Eumetazoa,Gaiad character,10
Q152551,,,Homos Homoscleromorpha,Gaiad character,8
Q152552,,,Paraxus ParaHoxozoa,Gaiad character,10
Q152553,,,Xiangus Xianguangia,Gaiad character,9
Q152554,,,Daihua Daihua sanqiong,Gaiad character,8
Q152555,,,Dinomischus Dinomischus,Gaiad character,8
Q152556,,,Siphus Siphusauctum,Gaiad character,8
Q152557,,,Ctenophora Ctenophora,Gaiad character,8
Q152558,,,Scleroctenophora Scleroctenophora,Gaiad character,7
Q152559,,,Tentaculata Tentaculata,Gaiad character,8
Q15256,Q28500895,,Park Mulphum,,7
Q152560,,,Nuda Beroidae,Gaiad character,7
Q152561,,,Coeloplana astericola Creeping Comb Jelly,Gaiad character,7
Q152562,,,Mnemiopsis Mnemiopsis,Gaiad character,7
Q152563,,,Bilateron Bilateria,Gaiad character,10
Q152564,,,Placus Placozoa,Gaiad character,8
Q152565,,,Cnider Cnidaria,Gaiad character,9
Q152566,,,Coelomus Bilateria,Gaiad character,9
Q152567,,,Xenus Xenacoelomorpha,Gaiad character,8
Q152568,,,Nephrus Nephrozoa,Gaiad character,8
Q152569,,,Cambrius Nephrozoa,Gaiad character,9
Q15257,Q84575596,,Peobi Kim ssi,,6
Q152570,,,Anthus Anthozoa,Gaiad character,8
Q152571,,,Anaxydros Medusozoa,Gaiad character,8
Q152572,,,Ceriantharia Ceriantharia,Gaiad character,7
Q152573,,,Hexacorallia Hexacorallia,Gaiad character,7
Q152574,,,Octocorallia Octocorallia,Gaiad character,8
Q152575,,,Scleractinia Scleractinia,Gaiad character,7
Q152576,,,Anemon Anemones,Gaiad character,7
Q152577,,,Pompom Stalked Jellyfish,Gaiad character,7
Q152578,,,Meduson Jellyfish,Gaiad character,8
Q152579,,,Jelly Jellyfish,Gaiad character,8
Q15258,Q486842,,Hyoso of Silla,Silla ruler,9
Q152580,,,Cubos Cubozoa,Gaiad character,7
Q152581,,,Scyphos Scyphozoa,Gaiad character,7
Q152582,,,Diplos Jellyfish,Gaiad character,8
Q152583,,,Paras Parasitic Cnidarians,Gaiad character,8
Q152584,,,Polypodius Polypodium hydriforme,Gaiad character,7
Q152585,,,Buddenbrock Buddenbrockia plumatellae,Gaiad character,7
Q152586,,,Myxozoa Myxozoa,Gaiad character,7
Q152587,,,Hydroz Hydrozoa,Gaiad character,8
Q152588,,,Trachymedusae Trachymedusae,Gaiad character,8
Q152589,,,Freshwater Jellyfish Freshwater Jellyfish,Gaiad character,7
Q15259,Q484700,,Seongdeok of Silla,king of Silla (690-737),11
Q152590,,,Hydroidolina Hydroidolina,Gaiad character,8
Q152591,,,Anthoathecata Anthoathecata,Gaiad character,8
Q152592,,,Siphonophorae Siphonophorae,Gaiad character,8
Q152593,,,Calycophorae nectophores,Gaiad character,7
Q152594,,,Cystonectae float,Gaiad character,7
Q152595,,,Physonectae nectophores and float,Gaiad character,7
Q152596,,,Oceaniidae Oceaniidae,Gaiad character,8
Q152597,,,Velella Velella,Gaiad character,7
Q152598,,,Hydra Hydra,Gaiad character,7
Q152599,,,Fire coral Fire coral,Gaiad character,7
Q1526,,,8 Percomorpha,,7
Q15260,Q83544796,,Kim Sa-in,,7
Q152600,,,Immortal jellyfish Immortal jellyfish,Gaiad character,7
Q152601,,,Dutrus Deuterostome,Gaiad character,9
Q152602,,,Protos Protostome,Gaiad character,9
Q152603,,,Chordatus Chordates,Gaiad character,9
Q152604,,,Ambulus Ambulacraria,Gaiad character,8
Q152605,,,Hemichus Ambulacraria,Gaiad character,8
Q152606,,,Acorn Enteropneusta,Gaiad character,7
Q152607,,,Oak Ambulacraria,Gaiad character,8
Q152608,,,Biscarpon Stem Echinoderms,Gaiad character,8
Q152609,,,Pterobronk Pterobranchia,Gaiad character,7
Q15261,,,Xie Zhong Ye,,1
Q152610,,,Ctenocyston Ctenocystoidea,Gaiad character,7
Q152611,,,Cincton Stem Echinoderms,Gaiad character,8
Q152612,,,Soluton Soluta (echinoderm),Gaiad character,8
Q152613,,,Helicoplacus Helicoplacus,Gaiad character,8
Q152614,,,Pentus Stem Echinoderms,Gaiad character,8
Q152615,,,Stromatos Stem Echinoderms,Gaiad character,8
Q152616,,,Lepidos Stem Echinoderms,Gaiad character,8
Q152617,,,Felbabka Stem Echinoderms,Gaiad character,8
Q152618,,,Echidna Echinoderms,Gaiad character,8
Q152619,,,Crinosa Echinoderms,Gaiad character,8
Q15262,Q22813470,,Li Hong,"person, CBDB = 166400",7
Q152620,,,Blastosa Echinoderms,Gaiad character,7
Q152621,,,Lily Stone Echinoderms,Gaiad character,7
Q152622,,,Luther Echinoderms,Gaiad character,8
Q152623,,,Asteros Echinoderms,Gaiad character,8
Q152624,,,Echinos Echinoderms,Gaiad character,8
Q152625,,,Starfy Echinoderms,Gaiad character,7
Q152626,,,Ophis Echinoderms,Gaiad character,7
Q152627,,,Urchin Echinoderms,Gaiad character,7
Q152628,,,Cucus Echinoderms,Gaiad character,7
Q152629,,,Spiralius Spiralia,Gaiad character,8
Q15263,Q45598202,6000000075061073821;6000000075061073821,Li Chengzhao,"person, CBDB = 159227",8
Q152630,,,Ectus Ecdysozoa,Gaiad character,8
Q152631,,,Kimberella Kimberella,Gaiad character,8
Q152632,,,Gnathifer Gnathifera,Gaiad character,7
Q152633,,,Odontogriphus Odontogriphus,Gaiad character,8
Q152634,,,Rouphy Rouphozoa,Gaiad character,8
Q152635,,,Molluscus Molluscs,Gaiad character,8
Q152636,,,Symbion Symbion,Gaiad character,7
Q152637,,,Testar Testaria,Gaiad character,8
Q152638,,,Solenogastres Solenogastres,Gaiad character,7
Q152639,,,Caudofoveata Caudofoveata,Gaiad character,7
Q15264,Q45602206,6000000075060884917;6000000075060884917,Li Chengzhi,Tang dynasty person CBDB = 169735,9
Q152640,,,Chiton Horizontus Chiton,Gaiad character,7
Q152641,,,Conchifer Verticus Conchifera,Gaiad character,8
Q152642,,,Bivos Bivalves,Gaiad character,7
Q152643,,,Monos Conchifera,Gaiad character,8
Q152644,,,Monoplacophora Monoplacophora,Gaiad character,7
Q152645,,,Carlos the curly Monosa,Gaiad character,8
Q152646,,,Gastropus Gastropoda,Gaiad character,8
Q152647,,,Digitos Monosa,Gaiad character,8
Q152648,,,Limpus Limpet,Gaiad character,7
Q152649,,,Snellon Gastropoda,Gaiad character,8
Q15265,Q45448932,,Li Chengwang,"person, CBDB = 166402",6
Q152650,,,Vetigas Gastropoda,Gaiad character,8
Q152651,,,Trochus Trochus,Gaiad character,7
Q152652,,,Avalon Abalone,Gaiad character,7
Q152653,,,Escargon Gastropoda,Gaiad character,8
Q152654,,,Neritus Neritimorpha,Gaiad character,7
Q152655,,,Conchus Conchifera,Gaiad character,8
Q152656,,,Marius of the Sea Caenogastropoda,Gaiad character,7
Q152657,,,Heterobran of the Skies Heterobranchia,Gaiad character,8
Q152658,,,Nudos Heterobranchia,Gaiad character,7
Q152659,,,Aeros Heterobranchia,Gaiad character,8
Q15266,Q16076725,6000000075060951888;6000000075060951888,Li Zezhi,Tang dynasty person CBDB = 188011,8
Q152660,,,Pample Panpulmonata,Gaiad character,7
Q152661,,,Angelica Sea Butterfly,Gaiad character,7
Q152662,,,Scaphopus Scaphopoda,Gaiad character,7
Q152663,,,Cephalopus Cephalopoda,Gaiad character,8
Q152664,,,Plectron Cephalopoda,Gaiad character,8
Q152665,,,Ellesmer Ellesmerocerida,Gaiad character,8
Q152666,,,Endos Endocerida,Gaiad character,8
Q152667,,,Cameromagne Endocerida,Gaiad character,8
Q152668,,,Endoceras Endocerida,Gaiad character,7
Q152669,,,Actinos Actinocerida,Gaiad character,8
Q15267,,,He Qi Xia Cheng,,1
Q152670,,,Orthosceros Orthosceros,Gaiad character,8
Q152671,,,Ascos Orthosceros,Gaiad character,7
Q152672,,,Bacchus Bactritida,Gaiad character,8
Q152673,,,Ammon Ammonites,Gaiad character,7
Q152674,,,Coleos Belemnos Belemnoidea,Gaiad character,8
Q152675,,,Tarphy Tarphycerida,Gaiad character,8
Q152676,,,Oncos Oncocerida,Gaiad character,8
Q152677,,,Barrandeos Tarphycerida,Gaiad character,7
Q152678,,,Rutos Oncocerida,Gaiad character,8
Q152679,,,Nautilus Nautilus,Gaiad character,7
Q15268,,,Haji no Ōsoba,,1
Q152680,,,Halwaxidus Halwaxida,Gaiad character,8
Q152681,,,Lophophorata Lophophorata,Gaiad character,8
Q152682,,,Annelidus Annelids,Gaiad character,8
Q152683,,,Wiwaxia the spiny Wiwaxia,Gaiad character,7
Q152684,,,Bryozoa Bryozoa,Gaiad character,7
Q152685,,,Brachios Brachiopod,Gaiad character,8
Q152686,,,Pleistos Pleistoannelida,Gaiad character,8
