GaianYear,GaianMonth,GaianDay,MonthName,GregorianDate,ISOYear,Weekday
9991,8,11,Cancer,0010-07-25 BC,-9,Thursday
9991,8,12,Cancer,0010-07-26 BC,-9,Friday
9991,8,13,Cancer,0010-07-27 BC,-9,Saturday
9991,8,14,Cancer,0010-07-28 BC,-9,Sunday
9991,8,15,Cancer,0010-07-29 BC,-9,Monday
9991,8,16,Cancer,0010-07-30 BC,-9,Tuesday
9991,8,17,Cancer,0010-07-31 BC,-9,Wednesday
9991,8,18,Cancer,0010-08-01 BC,-9,Thursday
9991,8,19,Cancer,0010-08-02 BC,-9,Friday
9991,8,20,Cancer,0010-08-03 BC,-9,Saturday
9991,8,21,Cancer,0010-08-04 BC,-9,Sunday
9991,8,22,Cancer,0010-08-05 BC,-9,Monday
9991,8,23,Cancer,0010-08-06 BC,-9,Tuesday
9991,8,24,Cancer,0010-08-07 BC,-9,Wednesday
9991,8,25,Cancer,0010-08-08 BC,-9,Thursday
9991,8,26,Cancer,0010-08-09 BC,-9,Friday
9991,8,27,Cancer,0010-08-10 BC,-9,Saturday
9991,8,28,Cancer,0010-08-11 BC,-9,Sunday
9991,9,1,Leo,0010-08-12 BC,-9,Monday
9991,9,2,Leo,0010-08-13 BC,-9,Tuesday
9991,9,3,Leo,0010-08-14 BC,-9,Wednesday
9991,9,4,Leo,0010-08-15 BC,-9,Thursday
9991,9,5,Leo,0010-08-16 BC,-9,Friday
9991,9,6,Leo,0010-08-17 BC,-9,Saturday
9991,9,7,Leo,0010-08-18 BC,-9,Sunday
9991,9,8,Leo,0010-08-19 BC,-9,Monday
9991,9,9,Leo,0010-08-20 BC,-9,Tuesday
9991,9,10,Leo,0010-08-21 BC,-9,Wednesday
9991,9,11,Leo,0010-08-22 BC,-9,Thursday
9991,9,12,Leo,0010-08-23 BC,-9,Friday
9991,9,13,Leo,0010-08-24 BC,-9,Saturday
9991,9,14,Leo,0010-08-25 BC,-9,Sunday
9991,9,15,Leo,0010-08-26 BC,-9,Monday
9991,9,16,Leo,0010-08-27 BC,-9,Tuesday
9991,9,17,Leo,0010-08-28 BC,-9,Wednesday
9991,9,18,Leo,0010-08-29 BC,-9,Thursday
9991,9,19,Leo,0010-08-30 BC,-9,Friday
9991,9,20,Leo,0010-08-31 BC,-9,Saturday
9991,9,21,Leo,0010-09-01 BC,-9,Sunday
9991,9,22,Leo,0010-09-02 BC,-9,Monday
9991,9,23,Leo,0010-09-03 BC,-9,Tuesday
9991,9,24,Leo,0010-09-04 BC,-9,Wednesday
9991,9,25,Leo,0010-09-05 BC,-9,Thursday
9991,9,26,Leo,0010-09-06 BC,-9,Friday
9991,9,27,Leo,0010-09-07 BC,-9,Saturday
9991,9,28,Leo,0010-09-08 BC,-9,Sunday
9991,10,1,Virgo,0010-09-09 BC,-9,Monday
9991,10,2,Virgo,0010-09-10 BC,-9,Tuesday
9991,10,3,Virgo,0010-09-11 BC,-9,Wednesday
9991,10,4,Virgo,0010-09-12 BC,-9,Thursday
9991,10,5,Virgo,0010-09-13 BC,-9,Friday
9991,10,6,Virgo,0010-09-14 BC,-9,Saturday
9991,10,7,Virgo,0010-09-15 BC,-9,Sunday
9991,10,8,Virgo,0010-09-16 BC,-9,Monday
9991,10,9,Virgo,0010-09-17 BC,-9,Tuesday
9991,10,10,Virgo,0010-09-18 BC,-9,Wednesday
9991,10,11,Virgo,0010-09-19 BC,-9,Thursday
9991,10,12,Virgo,0010-09-20 BC,-9,Friday
9991,10,13,Virgo,0010-09-21 BC,-9,Saturday
9991,10,14,Virgo,0010-09-22 BC,-9,Sunday
9991,10,15,Virgo,0010-09-23 BC,-9,Monday
9991,10,16,Virgo,0010-09-24 BC,-9,Tuesday
9991,10,17,Virgo,0010-09-25 BC,-9,Wednesday
9991,10,18,Virgo,0010-09-26 BC,-9,Thursday
9991,10,19,Virgo,0010-09-27 BC,-9,Friday
9991,10,20,Virgo,0010-09-28 BC,-9,Saturday
9991,10,21,Virgo,0010-09-29 BC,-9,Sunday
9991,10,22,Virgo,0010-09-30 BC,-9,Monday
9991,10,23,Virgo,0010-10-01 BC,-9,Tuesday
9991,10,24,Virgo,0010-10-02 BC,-9,Wednesday
9991,10,25,Virgo,0010-10-03 BC,-9,Thursday
9991,10,26,Virgo,0010-10-04 BC,-9,Friday
9991,10,27,Virgo,0010-10-05 BC,-9,Saturday
9991,10,28,Virgo,0010-10-06 BC,-9,Sunday
9991,11,1,Libra,0010-10-07 BC,-9,Monday
9991,11,2,Libra,0010-10-08 BC,-9,Tuesday
9991,11,3,Libra,0010-10-09 BC,-9,Wednesday
9991,11,4,Libra,0010-10-10 BC,-9,Thursday
9991,11,5,Libra,0010-10-11 BC,-9,Friday
9991,11,6,Libra,0010-10-12 BC,-9,Saturday
9991,11,7,Libra,0010-10-13 BC,-9,Sunday
9991,11,8,Libra,0010-10-14 BC,-9,Monday
9991,11,9,Libra,0010-10-15 BC,-9,Tuesday
9991,11,10,Libra,0010-10-16 BC,-9,Wednesday
9991,11,11,Libra,0010-10-17 BC,-9,Thursday
9991,11,12,Libra,0010-10-18 BC,-9,Friday
9991,11,13,Libra,0010-10-19 BC,-9,Saturday
9991,11,14,Libra,0010-10-20 BC,-9,Sunday
9991,11,15,Libra,0010-10-21 BC,-9,Monday
9991,11,16,Libra,0010-10-22 BC,-9,Tuesday
9991,11,17,Libra,0010-10-23 BC,-9,Wednesday
9991,11,18,Libra,0010-10-24 BC,-9,Thursday
9991,11,19,Libra,0010-10-25 BC,-9,Friday
9991,11,20,Libra,0010-10-26 BC,-9,Saturday
9991,11,21,Libra,0010-10-27 BC,-9,Sunday
9991,11,22,Libra,0010-10-28 BC,-9,Monday
9991,11,23,Libra,0010-10-29 BC,-9,Tuesday
9991,11,24,Libra,0010-10-30 BC,-9,Wednesday
9991,11,25,Libra,0010-10-31 BC,-9,Thursday
9991,11,26,Libra,0010-11-01 BC,-9,Friday
9991,11,27,Libra,0010-11-02 BC,-9,Saturday
9991,11,28,Libra,0010-11-03 BC,-9,Sunday
9991,12,1,Scorpio,0010-11-04 BC,-9,Monday
9991,12,2,Scorpio,0010-11-05 BC,-9,Tuesday
9991,12,3,Scorpio,0010-11-06 BC,-9,Wednesday
9991,12,4,Scorpio,0010-11-07 BC,-9,Thursday
9991,12,5,Scorpio,0010-11-08 BC,-9,Friday
9991,12,6,Scorpio,0010-11-09 BC,-9,Saturday
9991,12,7,Scorpio,0010-11-10 BC,-9,Sunday
9991,12,8,Scorpio,0010-11-11 BC,-9,Monday
9991,12,9,Scorpio,0010-11-12 BC,-9,Tuesday
9991,12,10,Scorpio,0010-11-13 BC,-9,Wednesday
9991,12,11,Scorpio,0010-11-14 BC,-9,Thursday
9991,12,12,Scorpio,0010-11-15 BC,-9,Friday
9991,12,13,Scorpio,0010-11-16 BC,-9,Saturday
9991,12,14,Scorpio,0010-11-17 BC,-9,Sunday
9991,12,15,Scorpio,0010-11-18 BC,-9,Monday
9991,12,16,Scorpio,0010-11-19 BC,-9,Tuesday
9991,12,17,Scorpio,0010-11-20 BC,-9,Wednesday
9991,12,18,Scorpio,0010-11-21 BC,-9,Thursday
9991,12,19,Scorpio,0010-11-22 BC,-9,Friday
9991,12,20,Scorpio,0010-11-23 BC,-9,Saturday
9991,12,21,Scorpio,0010-11-24 BC,-9,Sunday
9991,12,22,Scorpio,0010-11-25 BC,-9,Monday
9991,12,23,Scorpio,0010-11-26 BC,-9,Tuesday
9991,12,24,Scorpio,0010-11-27 BC,-9,Wednesday
9991,12,25,Scorpio,0010-11-28 BC,-9,Thursday
9991,12,26,Scorpio,0010-11-29 BC,-9,Friday
9991,12,27,Scorpio,0010-11-30 BC,-9,Saturday
9991,12,28,Scorpio,0010-12-01 BC,-9,Sunday
9991,13,1,Ophiuchus,0010-12-02 BC,-9,Monday
9991,13,2,Ophiuchus,0010-12-03 BC,-9,Tuesday
9991,13,3,Ophiuchus,0010-12-04 BC,-9,Wednesday
9991,13,4,Ophiuchus,0010-12-05 BC,-9,Thursday
9991,13,5,Ophiuchus,0010-12-06 BC,-9,Friday
9991,13,6,Ophiuchus,0010-12-07 BC,-9,Saturday
9991,13,7,Ophiuchus,0010-12-08 BC,-9,Sunday
9991,13,8,Ophiuchus,0010-12-09 BC,-9,Monday
9991,13,9,Ophiuchus,0010-12-10 BC,-9,Tuesday
9991,13,10,Ophiuchus,0010-12-11 BC,-9,Wednesday
9991,13,11,Ophiuchus,0010-12-12 BC,-9,Thursday
9991,13,12,Ophiuchus,0010-12-13 BC,-9,Friday
9991,13,13,Ophiuchus,0010-12-14 BC,-9,Saturday
9991,13,14,Ophiuchus,0010-12-15 BC,-9,Sunday
9991,13,15,Ophiuchus,0010-12-16 BC,-9,Monday
9991,13,16,Ophiuchus,0010-12-17 BC,-9,Tuesday
9991,13,17,Ophiuchus,0010-12-18 BC,-9,Wednesday
9991,13,18,Ophiuchus,0010-12-19 BC,-9,Thursday
9991,13,19,Ophiuchus,0010-12-20 BC,-9,Friday
9991,13,20,Ophiuchus,0010-12-21 BC,-9,Saturday
9991,13,21,Ophiuchus,0010-12-22 BC,-9,Sunday
9991,13,22,Ophiuchus,0010-12-23 BC,-9,Monday
9991,13,23,Ophiuchus,0010-12-24 BC,-9,Tuesday
9991,13,24,Ophiuchus,0010-12-25 BC,-9,Wednesday
9991,13,25,Ophiuchus,0010-12-26 BC,-9,Thursday
9991,13,26,Ophiuchus,0010-12-27 BC,-9,Friday
9991,13,27,Ophiuchus,0010-12-28 BC,-9,Saturday
9991,13,28,Ophiuchus,0010-12-29 BC,-9,Sunday
9992,1,1,Sagittarius,0009-12-30 BC,-8,Monday
9992,1,2,Sagittarius,0009-12-31 BC,-8,Tuesday
9992,1,3,Sagittarius,0009-01-01 BC,-8,Wednesday
9992,1,4,Sagittarius,0009-01-02 BC,-8,Thursday
9992,1,5,Sagittarius,0009-01-03 BC,-8,Friday
9992,1,6,Sagittarius,0009-01-04 BC,-8,Saturday
9992,1,7,Sagittarius,0009-01-05 BC,-8,Sunday
9992,1,8,Sagittarius,0009-01-06 BC,-8,Monday
9992,1,9,Sagittarius,0009-01-07 BC,-8,Tuesday
9992,1,10,Sagittarius,0009-01-08 BC,-8,Wednesday
9992,1,11,Sagittarius,0009-01-09 BC,-8,Thursday
9992,1,12,Sagittarius,0009-01-10 BC,-8,Friday
9992,1,13,Sagittarius,0009-01-11 BC,-8,Saturday
9992,1,14,Sagittarius,0009-01-12 BC,-8,Sunday
9992,1,15,Sagittarius,0009-01-13 BC,-8,Monday
9992,1,16,Sagittarius,0009-01-14 BC,-8,Tuesday
9992,1,17,Sagittarius,0009-01-15 BC,-8,Wednesday
9992,1,18,Sagittarius,0009-01-16 BC,-8,Thursday
9992,1,19,Sagittarius,0009-01-17 BC,-8,Friday
9992,1,20,Sagittarius,0009-01-18 BC,-8,Saturday
9992,1,21,Sagittarius,0009-01-19 BC,-8,Sunday
9992,1,22,Sagittarius,0009-01-20 BC,-8,Monday
9992,1,23,Sagittarius,0009-01-21 BC,-8,Tuesday
9992,1,24,Sagittarius,0009-01-22 BC,-8,Wednesday
9992,1,25,Sagittarius,0009-01-23 BC,-8,Thursday
9992,1,26,Sagittarius,0009-01-24 BC,-8,Friday
9992,1,27,Sagittarius,0009-01-25 BC,-8,Saturday
9992,1,28,Sagittarius,0009-01-26 BC,-8,Sunday
9992,2,1,Capricorn,0009-01-27 BC,-8,Monday
9992,2,2,Capricorn,0009-01-28 BC,-8,Tuesday
9992,2,3,Capricorn,0009-01-29 BC,-8,Wednesday
9992,2,4,Capricorn,0009-01-30 BC,-8,Thursday
9992,2,5,Capricorn,0009-01-31 BC,-8,Friday
9992,2,6,Capricorn,0009-02-01 BC,-8,Saturday
9992,2,7,Capricorn,0009-02-02 BC,-8,Sunday
9992,2,8,Capricorn,0009-02-03 BC,-8,Monday
9992,2,9,Capricorn,0009-02-04 BC,-8,Tuesday
9992,2,10,Capricorn,0009-02-05 BC,-8,Wednesday
9992,2,11,Capricorn,0009-02-06 BC,-8,Thursday
9992,2,12,Capricorn,0009-02-07 BC,-8,Friday
9992,2,13,Capricorn,0009-02-08 BC,-8,Saturday
9992,2,14,Capricorn,0009-02-09 BC,-8,Sunday
9992,2,15,Capricorn,0009-02-10 BC,-8,Monday
9992,2,16,Capricorn,0009-02-11 BC,-8,Tuesday
9992,2,17,Capricorn,0009-02-12 BC,-8,Wednesday
9992,2,18,Capricorn,0009-02-13 BC,-8,Thursday
9992,2,19,Capricorn,0009-02-14 BC,-8,Friday
9992,2,20,Capricorn,0009-02-15 BC,-8,Saturday
9992,2,21,Capricorn,0009-02-16 BC,-8,Sunday
9992,2,22,Capricorn,0009-02-17 BC,-8,Monday
9992,2,23,Capricorn,0009-02-18 BC,-8,Tuesday
9992,2,24,Capricorn,0009-02-19 BC,-8,Wednesday
9992,2,25,Capricorn,0009-02-20 BC,-8,Thursday
9992,2,26,Capricorn,0009-02-21 BC,-8,Friday
9992,2,27,Capricorn,0009-02-22 BC,-8,Saturday
9992,2,28,Capricorn,0009-02-23 BC,-8,Sunday
9992,3,1,Aquarius,0009-02-24 BC,-8,Monday
9992,3,2,Aquarius,0009-02-25 BC,-8,Tuesday
9992,3,3,Aquarius,0009-02-26 BC,-8,Wednesday
9992,3,4,Aquarius,0009-02-27 BC,-8,Thursday
9992,3,5,Aquarius,0009-02-28 BC,-8,Friday
9992,3,6,Aquarius,0009-02-29 BC,-8,Saturday
9992,3,7,Aquarius,0009-03-01 BC,-8,Sunday
9992,3,8,Aquarius,0009-03-02 BC,-8,Monday
9992,3,9,Aquarius,0009-03-03 BC,-8,Tuesday
9992,3,10,Aquarius,0009-03-04 BC,-8,Wednesday
9992,3,11,Aquarius,0009-03-05 BC,-8,Thursday
9992,3,12,Aquarius,0009-03-06 BC,-8,Friday
9992,3,13,Aquarius,0009-03-07 BC,-8,Saturday
9992,3,14,Aquarius,0009-03-08 BC,-8,Sunday
9992,3,15,Aquarius,0009-03-09 BC,-8,Monday
9992,3,16,Aquarius,0009-03-10 BC,-8,Tuesday
9992,3,17,Aquarius,0009-03-11 BC,-8,Wednesday
9992,3,18,Aquarius,0009-03-12 BC,-8,Thursday
9992,3,19,Aquarius,0009-03-13 BC,-8,Friday
9992,3,20,Aquarius,0009-03-14 BC,-8,Saturday
9992,3,21,Aquarius,0009-03-15 BC,-8,Sunday
9992,3,22,Aquarius,0009-03-16 BC,-8,Monday
9992,3,23,Aquarius,0009-03-17 BC,-8,Tuesday
9992,3,24,Aquarius,0009-03-18 BC,-8,Wednesday
9992,3,25,Aquarius,0009-03-19 BC,-8,Thursday
9992,3,26,Aquarius,0009-03-20 BC,-8,Friday
9992,3,27,Aquarius,0009-03-21 BC,-8,Saturday
9992,3,28,Aquarius,0009-03-22 BC,-8,Sunday
9992,4,1,Pisces,0009-03-23 BC,-8,Monday
9992,4,2,Pisces,0009-03-24 BC,-8,Tuesday
9992,4,3,Pisces,0009-03-25 BC,-8,Wednesday
9992,4,4,Pisces,0009-03-26 BC,-8,Thursday
