cycle_len	chain_qids	chain_labels
7	Q137384 -> Q137899 -> Q137320 -> Q137449 -> Q136996 -> Q137385 -> Q136958 -> Q137384	Ynyr, lord of Gwent -> Morfudd ferch Ynir -> Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys -> Lleuki|Nest ferch Gwerstan ap Gwaithfoed -> Iorwerth Hir ap Llywarch Gam of Maelor -> Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick -> Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam -> Ynyr, lord of Gwent
2	Q73323 -> Q73470 -> Q73323	Titus Manlius  Torquatus -> Titus Manlius  Torquatus -> Titus Manlius  Torquatus
2	Q73470 -> Q99410 -> Q73470	Titus Manlius  Torquatus ->  -> Titus Manlius  Torquatus
9	Q138403 -> Q139560 -> Q73458 -> Q73311 -> Q73146 -> Q144060 -> Q72858 -> Q139550 -> Q138399 -> Q138403	Clodia -> Licinia -> Gaius Caecilius -> Lucius Caecilius Metellus Denter -> Lucius Caecilius Metellus -> Quintus Caecilius Metellus -> Quintus Caecilius Metellus Macedonicus -> Quintus Caecilius Metellus Balearicus -> Caecilia Metella -> Clodia
8	Q139560 -> Q73458 -> Q73311 -> Q73146 -> Q72984 -> Q72834 -> Q141414 -> Q139559 -> Q139560	Licinia -> Gaius Caecilius -> Lucius Caecilius Metellus Denter -> Lucius Caecilius Metellus -> Quintus Caecilius Metellus -> Lucius Caecilius Metellus Calvus -> Caecilia Metella -> Lucullus -> Licinia
8	Q73599 -> Q73479 -> Q73332 -> Q73170 -> Q73985 -> Q73910 -> Q73812 -> Q73710 -> Q73599	Gnaeus Servilius -> Quintus Servilius -> Publius Servilius -> Gaius Servilius -> Quintus Servilius -> Gaius Servilius -> Gaius Servilius -> Servilius -> Gnaeus Servilius
4	Q161658 -> Q161777 -> Q161966 -> Q162275 -> Q161658	Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja -> Dewa Amas Sang Aji Kala -> Demang Lebar Daun Mangkabumi (Bendahara I) -> Wan Sendari (Radin Ratna Cenderapuri) -> Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja
2	Q18066 -> Q32705 -> Q18066	Nagano Norinari -> 長野尚業 -> Nagano Norinari
5	Q73970 -> Q73887 -> Q73782 -> Q78812 -> Q78752 -> Q73970	Appius Claudius Crassus Inregillensis -> Gaius Claudius Crassus Inrelligensis -> Appius Claudius Caecus -> Tiberius Claudius Nero -> Publius  Claudius-Nero -> Appius Claudius Crassus Inregillensis
4	Q160928 -> Q160981 -> Q160965 -> Q160946 -> Q160928	Swammbhu Brambha -> Person Q160981 -> Kasayap Muni -> 11 Rudras -> Swammbhu Brambha
2	Q78501 -> Q78615 -> Q78501	Marcus  Valerius -> Manius  Valerius -> Marcus  Valerius
3	Q73824 -> Q135467 -> Q73925 -> Q73824	Agathocles of Pella -> Alcimachus of Apollonia -> Alcimachus -> Agathocles of Pella
