a	b
Q166793	Q166826
Q166804	Q166837
Q166805	Q166839
Q166808	Q166841
Q16681	Q26657
Q16681	Q28932
Q166810	Q166843
Q166812	Q166845
Q166818	Q166851
Q166828	Q166856
Q166828	Q166857
Q166828	Q166858
Q166829	Q166859
Q166833	Q60386
Q166834	Q60386
Q166842	Q166868
Q166844	Q166869
Q166846	Q166872
Q166847	Q166874
Q166848	Q166880
Q166852	Q166882
Q166860	Q166887
Q166862	Q166888
Q16687	Q28936
Q16687	Q28940
Q166873	Q166900
Q166875	Q166902
Q166876	Q166904
Q16688	Q26675
Q16688	Q26684
Q16688	Q28960
Q166883	Q166908
Q166892	Q166914
Q166895	Q166918
Q166897	Q166919
Q166901	Q166923
Q166903	Q166925
Q166907	Q166930
Q166920	Q166942
Q166924	Q166947
Q166927	Q166949
Q166928	Q166950
Q166929	Q166951
Q166940	Q166959
Q166941	Q166960
Q166943	Q166961
Q166962	Q166972
Q166964	Q166973
Q166971	Q59355
Q166971	Q75423
Q166972	Q167001
Q166986	Q166991
Q166987	Q166993
Q166996	Q167004
Q166996	Q167005
Q166996	Q167007
Q166998	Q167009
Q166999	Q167013
Q167000	Q167016
Q167003	Q167021
Q167003	Q167025
Q167006	Q167027
Q167010	Q167029
Q167015	Q167032
Q167017	Q167034
Q167020	Q167035
Q167024	Q167039
Q167028	Q167044
Q167031	Q167052
Q167033	Q167054
Q167046	Q167061
Q167051	Q167068
Q167053	Q167064
Q167055	Q167062
Q167060	Q167074
Q167063	Q167076
Q167072	Q167087
Q167077	Q167082
Q167082	Q167092
Q167088	Q167095
Q167091	Q167099
Q167097	Q167104
Q167100	Q167107
Q167100	Q167112
Q167108	Q167117
Q167108	Q167118
Q167109	Q167123
Q16711	Q18018
Q16711	Q18019
Q167111	Q167125
Q167119	Q167134
Q167119	Q167136
Q167120	Q167138
Q167121	Q167140
Q167124	Q167143
Q167128	Q167155
Q167130	Q167164
Q167131	Q167165
Q167132	Q167164
Q167135	Q167167
Q167135	Q167168
Q167141	Q167161
Q167141	Q167181
Q167154	Q167183
Q167156	Q167185
Q167157	Q167190
Q167158	Q167191
Q167159	Q167193
Q167160	Q167196
Q167162	Q167199
Q167163	Q167201
Q167170	Q167203
Q167175	Q167210
Q167177	Q167214
Q167178	Q167216
Q167178	Q167217
Q167184	Q167218
Q167186	Q167220
Q167187	Q167222
Q167189	Q167224
Q167192	Q167225
Q167195	Q167228
Q167200	Q167231
Q167204	Q167232
Q167205	Q167234
Q167205	Q167235
Q167207	Q167238
Q167211	Q167233
Q167211	Q167241
Q167215	Q167240
Q167219	Q167245
Q167221	Q167246
Q167223	Q167247
Q167229	Q167248
Q167239	Q167249
Q167244	Q167257
Q167254	Q167266
Q167254	Q167269
Q167254	Q167271
Q167255	Q46167
Q167255	Q50254
Q167256	Q167270
Q167258	Q167272
Q167258	Q167276
Q167259	Q167278
Q167259	Q167279
Q167259	Q167283
Q167261	Q50033
Q167265	Q167294
Q167265	Q167295
Q167268	Q167296
Q167268	Q167297
Q167270	Q167289
Q167270	Q167303
Q167270	Q167307
Q167275	Q167310
Q167282	Q167314
Q167284	Q50075
Q167286	Q46167
Q167287	Q167321
Q16729	Q27053
Q167291	Q46167
Q167298	Q167310
Q167298	Q167324
Q167299	Q167326
Q167306	Q167322
Q167309	Q167330
Q167315	Q167335
Q167317	Q167337
Q167317	Q167340
Q167318	Q167322
Q167329	Q167351
Q167331	Q167354
Q167336	Q167357
Q16734	Q18044
Q16734	Q29077
Q167342	Q167361
Q167345	Q167367
Q167349	Q43294
Q167352	Q167373
Q167352	Q55608
Q167353	Q167366
Q167353	Q167375
Q167355	Q167380
Q167358	Q167384
Q16736	Q29089
Q16736	Q29093
Q167362	Q167386
Q167364	Q167393
Q167368	Q167394
Q16737	Q26714
Q167378	Q167411
Q167379	Q167412
Q167380	Q167454
Q167381	Q167413
Q167381	Q167417
Q167385	Q167420
Q167387	Q167404
Q167388	Q50087
Q167390	Q167428
Q167390	Q167431
Q167391	Q167432
Q167392	Q167433
Q167397	Q55919
Q167398	Q167435
Q167398	Q167439
Q167398	Q167440
Q167399	Q167441
Q1674	Q1675
Q167400	Q167443
Q167400	Q167449
Q167401	Q167450
Q167402	Q167451
Q167403	Q167452
Q167406	Q55907
Q167407	Q167457
Q167414	Q167461
Q167415	Q167462
Q167416	Q167463
Q167418	Q167464
Q167419	Q167467
Q167419	Q167468
Q167421	Q167469
Q167422	Q167471
Q167423	Q167472
Q167426	Q55608
Q167427	Q167477
Q167434	Q167478
Q167436	Q167473
Q167438	Q167485
Q167444	Q167496
Q167444	Q167497
Q167444	Q167498
Q167448	Q167499
Q16745	Q26775
Q167455	Q167501
Q167456	Q167503
Q167458	Q167504
Q167465	Q167509
Q167470	Q167514
Q167473	Q167517
Q167473	Q167519
Q167473	Q167520
Q167473	Q167526
Q167473	Q167527
Q167473	Q167529
Q167475	Q167531
Q167481	Q167534
Q167483	Q167532
Q167486	Q167542
Q167487	Q167543
Q167488	Q167544
Q167488	Q167548
Q167489	Q167549
Q167490	Q167550
Q167491	Q167551
Q167492	Q167557
Q167494	Q167558
Q167495	Q167561
Q167500	Q167562
Q167502	Q167564
Q167507	Q167569
Q167510	Q167576
Q167510	Q167590
Q167511	Q167570
Q167513	Q167595
Q167516	Q167597
Q167518	Q167599
Q167522	Q167601
Q167522	Q167604
Q167522	Q167605
Q167528	Q167611
Q167535	Q167613
Q167537	Q167623
Q167537	Q167636
Q167540	Q167640
Q167540	Q167642
Q167545	Q167643
Q167546	Q167646
Q167546	Q167647
Q167547	Q167649
Q167552	Q167653
Q167553	Q167655
Q167555	Q167665
Q167556	Q167667
Q167560	Q167671
Q167565	Q167673
Q167565	Q167680
Q167566	Q167681
Q167571	Q167691
Q167572	Q167698
Q167577	Q167704
Q167583	Q167709
Q167587	Q167683
Q167588	Q167716
Q167589	Q167717
Q167591	Q167718
Q167592	Q167722
Q167596	Q167697
Q167596	Q167732
Q167598	Q167734
Q167603	Q167737
Q167608	Q167740
Q167614	Q167702
Q167614	Q167741
Q167623	Q167879
Q167624	Q167749
Q167624	Q167756
Q167624	Q167757
Q167626	Q167763
Q167626	Q167768
Q167627	Q167770
Q167629	Q167772
Q167634	Q167773
Q167637	Q167775
Q167638	Q167777
Q167639	Q167641
Q167644	Q167779
Q167645	Q167780
Q167650	Q167783
Q167651	Q167787
Q167656	Q167791
Q167659	Q167799
Q167660	Q167802
Q167662	Q167805
Q167663	Q167806
Q167668	Q167810
Q167672	Q167819
Q167674	Q167692
Q167682	Q167824
Q167693	Q167829
Q167696	Q167833
Q167696	Q167835
Q167696	Q167838
Q167698	Q167947
Q167699	Q167842
Q167701	Q167844
Q167701	Q167845
Q167703	Q167847
Q167707	Q167849
Q167710	Q167850
Q167713	Q167856
Q167714	Q167859
Q167723	Q167828
Q167725	Q167865
Q167727	Q167869
Q167731	Q167871
Q167735	Q167876
Q167742	Q167880
Q167742	Q167881
Q167742	Q167882
Q167744	Q167884
Q167745	Q167885
Q167747	Q167891
Q167750	Q167893
Q167752	Q167898
Q167752	Q167901
Q167754	Q167902
Q167755	Q167903
Q167758	Q167767
Q167758	Q167904
Q167759	Q167764
Q16776	Q29169
Q167769	Q167906
Q167771	Q167908
Q167782	Q167915
Q167784	Q167917
Q167785	Q167919
Q167786	Q167924
Q167788	Q167926
Q167789	Q167927
Q167794	Q167930
Q1678	Q48255
Q167803	Q167935
Q167808	Q167939
Q167808	Q167941
Q167816	Q167944
Q167821	Q167948
Q167822	Q167951
Q167823	Q167953
Q167825	Q167954
Q167826	Q167956
Q167830	Q167958
Q167836	Q167964
Q167837	Q167965
Q167843	Q167848
Q167843	Q167967
Q167846	Q167970
Q167852	Q167974
Q167853	Q167860
Q167855	Q167897
Q167855	Q167978
Q167855	Q167979
Q167858	Q167980
Q167860	Q167971
Q167861	Q167897
Q167861	Q167983
Q167863	Q167897
Q167864	Q167986
Q167866	Q167894
Q167866	Q167897
Q167867	Q167991
Q167868	Q167967
Q167868	Q167998
Q167873	Q168003
Q167878	Q168008
Q167881	Q168110
Q167883	Q168010
Q167884	Q167977
Q167886	Q168013
Q167887	Q168018
Q167887	Q168019
Q167889	Q168021
Q167894	Q168023
Q167894	Q168024
Q167897	Q167900
Q167897	Q168023
Q167897	Q168024
Q167897	Q168028
Q167897	Q168029
Q167897	Q168030
Q167897	Q168034
Q167899	Q168035
Q167907	Q168039
Q167909	Q168040
Q167913	Q168046
Q167918	Q168052
Q167920	Q168058
Q167922	Q168059
Q167923	Q168065
Q167925	Q168067
Q167928	Q168070
Q167931	Q168074
Q167932	Q168083
Q167932	Q168084
Q167934	Q168086
Q167936	Q168089
Q16794	Q17087
Q16794	Q17327
Q16794	Q18485
Q16794	Q18487
Q16794	Q19719
Q16794	Q19722
Q16794	Q29233
Q16794	Q29543
Q16794	Q30098
Q16794	Q32805
Q16794	Q35258
Q167940	Q168092
Q167942	Q168095
Q167945	Q168097
Q167949	Q168099
Q167952	Q168105
Q167953	Q168884
Q167955	Q168119
Q167957	Q168123
Q167959	Q167973
Q167959	Q167976
Q167961	Q168131
Q167963	Q168133
Q167966	Q168134
Q167975	Q168135
Q167976	Q168139
Q16798	Q29298
Q167989	Q168144
Q167990	Q168145
Q167992	Q168146
Q167992	Q168148
Q168001	Q168149
Q168004	Q168161
Q168010	Q168128
Q168011	Q168167
Q168012	Q168170
Q168013	Q168342
Q168014	Q168174
Q168015	Q168181
Q168015	Q168185
Q168020	Q168187
Q168026	Q168197
Q168027	Q168198
Q168027	Q168200
Q168036	Q168202
Q168043	Q168206
Q168044	Q168208
Q168044	Q168216
Q168044	Q168217
Q168044	Q168222
Q168045	Q168229
Q168053	Q168246
Q168053	Q168247
Q168054	Q168253
Q168055	Q168257
Q168056	Q168258
Q168057	Q168259
Q168060	Q168261
Q168061	Q168262
Q168061	Q168263
Q168063	Q168271
Q168066	Q168275
Q168068	Q168279
Q168069	Q168281
Q168071	Q168283
Q168072	Q168292
Q168077	Q168294
Q168081	Q168300
Q168085	Q168302
Q168088	Q168304
Q168090	Q168306
Q168093	Q168312
Q168094	Q168320
Q168098	Q168323
Q1681	Q48267
Q168107	Q168335
Q168108	Q168337
Q168111	Q168340
Q168112	Q168329
Q168113	Q168137
Q168114	Q168162
Q168114	Q168356
Q168115	Q168358
Q168117	Q168361
Q168118	Q168203
Q168120	Q168362
Q168120	Q168367
Q168121	Q168368
Q168122	Q168128
Q168125	Q168374
Q16813	Q29314
Q168136	Q168380
Q168136	Q168389
Q168147	Q168402
Q168147	Q168405
Q168150	Q168407
Q168151	Q168419
Q168155	Q168351
Q168156	Q168421
Q168157	Q168422
Q168158	Q168423
Q168158	Q168425
Q168159	Q168426
Q16816	Q27395
Q168160	Q168427
Q168165	Q168436
Q168166	Q168437
Q168168	Q168439
Q168168	Q168440
Q168169	Q168377
Q168170	Q168747
Q168171	Q168420
Q168172	Q168452
Q168175	Q168456
Q168176	Q168384
Q168177	Q168471
Q168178	Q168474
Q168179	Q168480
Q16818	Q29330
Q168182	Q168485
Q168188	Q168486
Q168189	Q168489
Q168193	Q168492
Q168194	Q168498
Q168199	Q168501
Q168203	Q168505
Q168203	Q168511
Q168204	Q168512
Q168213	Q168514
Q168218	Q168516
Q168218	Q168522
Q16822	Q16823
Q168237	Q168538
Q168238	Q168539
Q168240	Q168539
Q168245	Q168547
Q168248	Q168548
Q168249	Q168552
Q168250	Q168553
Q168251	Q168554
Q168252	Q168555
Q168254	Q168556
Q168255	Q168563
Q168260	Q168570
Q168265	Q168571
Q168265	Q168575
Q168269	Q168577
Q168272	Q168580
Q168274	Q168581
Q168274	Q168584
Q168280	Q168590
Q168282	Q168592
Q168285	Q168594
Q168287	Q168595
Q168287	Q168602
Q168288	Q168603
Q168289	Q168614
Q16829	Q16830
Q16829	Q27116
Q16829	Q29346
Q16829	Q29350
Q16829	Q29354
Q168290	Q168624
Q168291	Q168625
Q168295	Q168627
Q168299	Q168635
Q168299	Q168642
Q1683	Q1684
Q168301	Q168643
Q168303	Q168645
Q168305	Q168647
Q168307	Q168649
Q168308	Q168654
Q16831	Q18173
Q16831	Q18174
Q168316	Q168658
Q168317	Q168661
Q168318	Q168662
Q168319	Q168663
Q168322	Q168664
Q168324	Q168666
Q168328	Q168668
Q168330	Q168673
Q168336	Q168680
Q168341	Q168683
Q168343	Q168382
Q168343	Q168685
Q168344	Q168697
Q168345	Q168701
Q168346	Q168705
Q168350	Q168712
Q168351	Q168714
Q168354	Q168715
Q168357	Q168489
Q16836	Q27443
Q168364	Q168727
Q168366	Q168729
Q168369	Q168731
Q168375	Q168741
Q168377	Q168743
Q168378	Q168439
Q168381	Q168748
Q168381	Q168756
Q168383	Q168757
Q168384	Q168759
Q168387	Q168764
Q168394	Q168688
Q168395	Q168769
Q1684	Q48279
Q168403	Q168770
Q168404	Q168777
Q168406	Q168781
Q168408	Q168783
Q168409	Q168789
Q168409	Q168794
Q168410	Q168800
Q168412	Q168801
Q168413	Q168804
Q168418	Q168807
Q168424	Q168808
Q168438	Q168816
Q16844	Q18108
Q168441	Q168818
Q168443	Q168490
Q168443	Q168824
Q168448	Q168836
Q168449	Q168837
Q168465	Q168844
Q168465	Q168848
Q168466	Q168851
Q168466	Q168854
Q168466	Q168857
Q168467	Q168881
Q168467	Q168883
Q16858	Q16859
Q1687	Q48283
Q16873	Q18218
Q16877	Q29430
Q16878	Q29486
Q16878	Q29490
Q16878	Q29494
Q16878	Q29498
Q16882	Q29510
Q168897	Q168932
Q168900	Q168969
Q168902	Q168928
Q168902	Q168956
Q168902	Q168989
Q168906	Q168990
Q168907	Q168992
Q168908	Q168994
Q168909	Q168996
Q168910	Q168999
Q168911	Q169002
Q168912	Q169004
Q168914	Q169005
Q168918	Q169007
Q16892	Q26977
Q168923	Q169099
Q168923	Q1944
Q168924	Q169112
Q168925	Q169130
Q168926	Q169134
Q168927	Q169135
Q168930	Q169130
Q168931	Q169113
Q168934	Q169164
Q168934	Q169166
Q168946	Q169179
Q168946	Q169183
Q168947	Q169099
Q168948	Q169192
Q168949	Q169193
Q168950	Q169193
Q168951	Q169194
Q168952	Q169195
Q168953	Q169196
Q168954	Q169197
Q168955	Q169198
Q168957	Q169199
Q168965	Q169201
Q168975	Q169205
Q168976	Q169205
Q168976	Q169208
Q168983	Q169210
Q168985	Q169212
Q168987	Q169216
Q168987	Q169219
Q168987	Q169222
Q168987	Q169226
Q168988	Q169232
Q169022	Q169284
Q169029	Q169086
Q169029	Q169286
Q169031	Q169087
Q169039	Q169300
Q169054	Q169079
Q16906	Q18251
Q16906	Q29539
Q169060	Q169311
Q169063	Q169316
Q169067	Q169283
Q169070	Q169324
Q169073	Q169325
Q169093	Q169335
Q169099	Q169337
Q169111	Q169350
Q169114	Q169357
Q169130	Q169368
Q169136	Q169369
Q169136	Q169371
Q169138	Q169373
Q169144	Q169211
Q16915	Q29097
Q169166	Q169406
Q169166	Q169408
Q169166	Q169410
Q169166	Q169413
Q169166	Q169415
Q169166	Q169417
Q169166	Q169419
Q169166	Q169421
Q169166	Q169423
Q169166	Q169425
Q169166	Q169427
Q169166	Q169429
Q16917	Q29446
Q16918	Q29105
Q16918	Q29559
Q169189	Q169436
Q169191	Q169438
Q1692	Q48311
Q169206	Q169442
Q169207	Q169444
Q169207	Q169446
Q169213	Q169454
Q169215	Q169446
Q169222	Q169457
Q169225	Q169461
Q169227	Q169319
Q169228	Q169477
Q169228	Q169479
Q169229	Q169482
Q169231	Q169485
Q169249	Q169490
Q169250	Q169491
Q169251	Q169492
Q169252	Q169493
Q169253	Q169494
Q169254	Q169495
Q169255	Q169496
Q169256	Q169496
Q169257	Q169497
Q169258	Q169498
Q169259	Q169499
Q169260	Q169500
Q169261	Q169501
Q169262	Q169502
Q169264	Q169503
Q169265	Q169504
Q169266	Q169505
Q169277	Q169524
Q169278	Q169525
Q169279	Q169527
Q16928	Q29615
Q169280	Q169528
Q169291	Q169578
Q169295	Q169600
Q169299	Q169604
Q169299	Q169612
Q169299	Q169614
Q169299	Q169615
Q169306	Q169616
Q169307	Q169619
Q169308	Q169621
Q169314	Q169623
Q169336	Q169638
Q169338	Q169640
Q169338	Q169642
Q169340	Q169644
Q169340	Q169645
Q169343	Q169447
Q169347	Q169661
Q169349	Q169663
Q169352	Q169664
Q169352	Q169665
Q169358	Q169668
Q169372	Q169669
Q169394	Q169695
Q169402	Q169696
Q169432	Q169713
Q169443	Q169721
Q169449	Q169450
Q169455	Q169730
Q169456	Q169732
Q169456	Q169734
Q169466	Q169467
Q16947	Q18287
Q169476	Q169741
Q16949	Q29643
Q169506	Q169746
Q169507	Q169750
Q169508	Q169754
Q169509	Q169756
Q169510	Q169758
Q169510	Q169760
Q169511	Q169762
Q169512	Q169764
Q169513	Q169766
Q169531	Q169548
Q169531	Q169778
Q169531	Q169779
Q169531	Q169781
Q169531	Q169783
Q169531	Q169785
Q169531	Q169786
Q169532	Q169548
Q169532	Q169788
Q169532	Q169790
Q169532	Q169792
Q169532	Q169794
Q169534	Q169800
Q169535	Q169804
Q169536	Q169805
Q169537	Q169808
Q169539	Q169811
Q169540	Q169814
Q169541	Q169818
Q169542	Q169821
Q169544	Q169823
Q169545	Q169827
Q169546	Q169829
Q169547	Q169833
Q169547	Q169834
Q169547	Q169835
Q169547	Q169836
Q169548	Q169601
Q169548	Q169602
Q169552	Q169870
Q169554	Q169881
Q169579	Q169883
Q169601	Q169831
Q169601	Q169901
Q169601	Q169903
Q169601	Q169904
Q169602	Q169909
Q169602	Q169911
Q169602	Q169912
Q169602	Q169914
Q169609	Q169919
Q169625	Q169934
Q169639	Q169942
Q169639	Q169944
Q169648	Q169946
Q169648	Q169959
Q169648	Q170078
Q169648	Q170080
Q169670	Q169671
Q169672	Q170097
Q169679	Q170105
Q169700	Q170118
Q169716	Q170122
Q169718	Q170127
Q169722	Q170134
Q169722	Q170136
Q169726	Q170138
Q169731	Q170143
Q169736	Q169737
Q16974	Q29731
Q16975	Q18108
Q16976	Q29735
Q169782	Q170158
Q169782	Q170161
Q169782	Q170162
Q169782	Q170164
Q169782	Q170166
Q169784	Q170168
Q169824	Q1861
Q169830	Q1861
Q169837	Q170196
Q169855	Q169856
Q169856	Q170252
Q169867	Q170254
Q169868	Q169869
Q169884	Q170279
Q16990	Q29784
Q169916	Q169917
Q16993	Q29800
Q169932	Q170301
Q169935	Q170303
Q16994	Q29804
Q169960	Q170315
Q169963	Q170319
Q17003	Q29828
Q17004	Q18370
Q17004	Q29840
Q170102	Q170326
Q170117	Q170343
Q170128	Q170349
Q170129	Q170352
Q170135	Q170363
Q170144	Q170367
Q170147	Q170148
Q17019	Q29884
Q170199	Q1861
Q170210	Q1861
Q170211	Q170317
Q170221	Q1861
Q170240	Q1861
Q17025	Q27146
Q170267	Q170390
Q17027	Q29916
Q170280	Q170404
Q17030	Q29434
Q170307	Q170447
Q170345	Q170475
Q170363	Q170487
Q170365	Q170489
Q17037	Q29956
Q170371	Q170491
Q170375	Q170423
Q170385	Q170386
Q170385	Q170499
Q170391	Q170502
Q170405	Q170512
Q17042	Q29964
Q17043	Q29944
Q170456	Q170532
Q170465	Q170466
Q170511	Q170570
Q170513	Q170575
Q170551	Q170629
Q170558	Q170637
Q170563	Q170642
Q170564	Q2319
Q170565	Q2319
Q170572	Q170658
Q170576	Q170660
Q170590	Q170669
Q1706	Q48403
Q170605	Q170679
Q17061	Q30004
Q170616	Q170683
Q170617	Q170684
Q170617	Q170685
Q170634	Q170699
Q170643	Q2076
Q170644	Q170705
Q170655	Q170656
Q170662	Q170718
Q170684	Q170771
Q170685	Q170771
Q170706	Q170755
Q170719	Q170764
Q17072	Q29707
Q17072	Q30037
Q170756	Q170797
Q170756	Q170798
Q170756	Q170800
Q170765	Q170811
Q17077	Q26856
Q17079	Q30073
Q170804	Q170805
Q170810	Q170852
Q170812	Q170857
Q170817	Q170818
Q170846	Q170847
Q170851	Q170885
Q170856	Q170890
Q170858	Q170891
Q17088	Q18484
Q170882	Q170883
Q17089	Q27037
Q170892	Q170917
Q170894	Q170919
Q17090	Q17102
Q170900	Q170929
Q170902	Q170937
Q170911	Q170912
Q170918	Q170951
Q170920	Q170955
Q170926	Q170966
Q17093	Q30093
Q170947	Q170948
Q170947	Q170980
Q170952	Q170983
Q170968	Q170991
Q170969	Q170996
Q17097	Q27281
Q17098	Q27281
Q17098	Q30110
Q170984	Q171010
Q170990	Q171014
Q170993	Q171022
Q170994	Q171023
Q170995	Q171024
Q17100	Q18508
Q17100	Q18509
Q171000	Q171028
Q171011	Q171037
Q171025	Q171047
Q171029	Q171050
Q171032	Q171055
Q171036	Q171063
Q171038	Q171065
Q171051	Q171070
Q171056	Q171075
Q171057	Q171077
Q171066	Q171082
Q171071	Q171087
Q171076	Q171098
Q17108	Q17489
Q17108	Q18052
Q17108	Q18542
Q17108	Q18543
Q17108	Q18544
Q17108	Q30175
Q171083	Q171102
Q171088	Q171110
Q171103	Q171128
Q171111	Q171137
Q171112	Q171139
Q171113	Q171147
Q171116	Q171152
Q171117	Q171159
Q171118	Q171162
Q171119	Q171165
Q17112	Q18548
Q171129	Q171176
Q171138	Q171182
Q171138	Q171186
Q171148	Q171188
Q171155	Q171203
Q171160	Q171206
Q171161	Q171208
Q171163	Q171211
Q171164	Q171212
Q171166	Q171214
Q171177	Q171228
Q171183	Q171232
Q171184	Q171235
Q171185	Q171238
Q171187	Q171240
Q171207	Q171242
Q171215	Q171244
Q171223	Q171252
Q171224	Q171256
Q171225	Q171258
Q171229	Q171264
Q17124	Q18559
Q17124	Q18560
Q17124	Q30211
Q17125	Q30215
Q17125	Q30219
Q17125	Q30223
Q17125	Q30227
Q171259	Q171280
Q17126	Q18569
Q17126	Q18570
Q17126	Q18572
Q17126	Q30231
Q1713	Q48456
Q171300	Q171361
Q171310	Q171311
Q171315	Q171382
Q171332	Q171399
Q171332	Q171403
Q171350	Q171351
Q171352	Q171423
Q171352	Q171426
Q171353	Q171441
Q17137	Q18575
Q17137	Q30239
Q17137	Q30243
Q17137	Q30247
Q17137	Q30251
Q17138	Q30263
Q17140	Q29306
Q171400	Q171536
Q171402	Q171537
Q171409	Q171546
Q171409	Q171550
Q17141	Q30267
Q171417	Q171418
Q171418	Q171419
Q171420	Q171421
Q171427	Q171566
Q171428	Q171432
Q171428	Q171571
Q171428	Q171572
Q171431	Q171573
Q171431	Q171574
Q171431	Q171584
Q171446	Q171447
Q171448	Q171449
Q17146	Q30280
Q171469	Q171470
Q171475	Q171476
Q17148	Q18596
Q17152	Q27167
Q17152	Q30288
Q17153	Q30296
Q17154	Q30300
Q171555	Q171556
Q171559	Q171560
Q17158	Q27344
Q17164	Q27356
Q17164	Q30320
Q17168	Q27371
Q17168	Q30364
Q17174	Q30235
Q17176	Q18646
Q17176	Q18647
Q17176	Q18648
Q17176	Q18649
Q17176	Q30400
Q171766	Q171767
Q171766	Q171782
Q171824	Q171825
Q17183	Q30408
Q17184	Q30428
Q17186	Q30436
Q17188	Q27410
Q17189	Q27395
Q17194	Q30448
Q17197	Q30452
Q17201	Q30484
Q17207	Q27323
Q17226	Q27443
Q17228	Q18720
Q17228	Q18721
Q17229	Q30552
Q17229	Q30556
Q17230	Q30565
Q17230	Q30569
Q17231	Q30581
Q17233	Q29968
Q17235	Q30605
Q17240	Q30625
Q17241	Q30633
Q17241	Q30637
Q17253	Q30665
Q17259	Q30669
Q17260	Q18774
Q17260	Q30677
Q17268	Q30709
Q17275	Q17276
Q17293	Q27534
Q17307	Q30794
Q17308	Q30802
Q17321	Q29233
Q17322	Q17324
Q17330	Q18243
Q17334	Q18875
Q17351	Q35051
Q17353	Q28663
Q17387	Q18908
Q17387	Q18926
Q17387	Q31043
Q17417	Q31083
Q17429	Q28711
Q17429	Q31123
Q17432	Q31135
Q17450	Q31224
Q17453	Q31248
Q17454	Q31252
Q17473	Q19018
Q17473	Q31216
Q17473	Q31288
Q17473	Q31292
Q17473	Q31296
Q17473	Q31300
Q17474	Q31264
Q17481	Q31312
Q17488	Q31192
Q17501	Q19040
Q17501	Q19041
Q17501	Q19042
Q17501	Q19045
Q17501	Q31361
Q17501	Q31365
Q17524	Q28020
Q17525	Q46648
Q17562	Q27963
Q17563	Q18566
Q17568	Q31694
Q17576	Q31746
Q17576	Q31750
Q17576	Q41348
Q17578	Q31762
Q17579	Q31806
Q17585	Q43751
Q17594	Q19191
Q17594	Q31838
Q17594	Q31842
Q17594	Q31846
Q17594	Q36012
Q17597	Q29699
Q17597	Q31858
Q17597	Q31863
Q17607	Q31895
Q1762	Q48762
Q17626	Q19195
Q17633	Q17635
Q17634	Q17635
Q17636	Q19244
Q17639	Q19247
Q17644	Q17645
Q17649	Q19278
Q17653	Q19288
Q17657	Q19288
Q17672	Q19318
Q17677	Q19341
Q17677	Q19342
Q17677	Q19343
Q17677	Q19344
Q17677	Q21263
Q17678	Q21330
Q17681	Q19368
Q17683	Q19380
Q17685	Q19381
Q17685	Q19382
Q17687	Q19384
Q17687	Q21204
Q17687	Q32083
Q17691	Q19387
Q17692	Q19388
Q17693	Q19391
Q17696	Q32087
Q17698	Q19393
Q17698	Q19394
Q17699	Q19397
Q17703	Q19398
Q17704	Q19351
Q17714	Q36404
Q17716	Q17720
Q17717	Q19411
Q1772	Q48830
Q17723	Q21411
Q17772	Q19443
Q17776	Q28414
Q1778	Q48890
Q1781	Q48910
Q17821	Q30758
Q17821	Q32161
Q17830	Q27582
Q17841	Q26494
Q17849	Q18206
Q17852	Q32265
Q1789	Q49002
Q17965	Q32493
Q1797	Q49091
Q17976	Q26660
Q17985	Q30139
Q17986	Q19618
Q17986	Q26678
Q17986	Q32565
Q17986	Q32569
Q17987	Q26681
Q17987	Q32585
Q17997	Q26690
Q17997	Q32336
Q17998	Q19632
Q18006	Q32597
Q18021	Q26832
Q18030	Q29025
Q18046	Q32172
Q18055	Q27320
Q1806	Q49156
Q18063	Q29121
Q18063	Q30935
Q18064	Q29121
Q18076	Q29157
Q18080	Q32729
Q18082	Q26808
Q18097	Q26841
Q18098	Q26844
Q18103	Q26850
Q18104	Q32789
Q18105	Q26853
Q18110	Q23890
Q18116	Q19723
Q18117	Q32336
Q18129	Q26862
Q18129	Q32866
Q18137	Q19757
Q18142	Q29326
Q18146	Q26895
Q18146	Q27149
Q18147	Q26898
Q18148	Q19772
Q18148	Q29338
Q18151	Q29342
Q1816	Q49211
Q18160	Q18186
Q18161	Q32958
Q18162	Q19785
Q18168	Q19788
Q18177	Q19792
Q18179	Q27630
Q18212	Q29470
Q18219	Q33110
Q18228	Q19842
Q18234	Q33130
Q18237	Q33138
Q18242	Q26980
Q18243	Q33158
Q18244	Q30102
Q18251	Q19870
Q18257	Q31353
Q18267	Q27004
Q18284	Q27043
Q18285	Q27046
Q18287	Q33306
Q18289	Q33322
Q18290	Q33326
Q18290	Q33330
Q18290	Q33334
Q18291	Q32368
Q18291	Q32942
Q18299	Q27056
Q18300	Q27056
Q18322	Q27092
Q18340	Q33456
Q18342	Q27125
Q18366	Q33501
Q18366	Q33505
Q18367	Q18368
Q18372	Q33517
Q18373	Q30114
Q18373	Q33521
Q18374	Q33533
Q18382	Q27152
Q18383	Q27164
Q18385	Q29940
Q18393	Q33557
Q18397	Q29895
Q18399	Q29788
Q18399	Q33379
Q18399	Q33601
Q18403	Q33310
Q18409	Q30053
Q18416	Q33633
Q18419	Q27176
Q18419	Q33637
Q18421	Q33525
Q18425	Q33589
Q18428	Q33722
Q18433	Q33730
Q18438	Q27201
Q18442	Q28574
Q18452	Q27222
Q18453	Q27225
Q18453	Q33770
Q18454	Q27228
Q18455	Q27231
Q18456	Q27234
Q18474	Q20124
Q18474	Q33794
Q18474	Q33798
Q18475	Q33718
Q1848	Q49299
