cycle_len	cycle_head	parent	child	wd_parent	wd_child	verdict	detail
16	Q75522	Q75694 (Caeionius Julianus Camerius)	Q75634 (Caeionia Auchenia Bassa)			unknown	no Wikidata ID for Caeionius Julianus Camerius and Caeionia Auchenia Bassa
16	Q75522	Q75634 (Caeionia Auchenia Bassa)	Q75573 (Anicius Auchenius Bassus)		Q2289711	unknown	no Wikidata ID for Caeionia Auchenia Bassa
16	Q75522	Q75573 (Anicius Auchenius Bassus)	Q75543 (Tyrrania Anicia Juliana)	Q2289711	Q12296367	confirmed	Wikidata agrees Anicius Auchenius Bassus is a parent of Tyrrania Anicia Juliana
16	Q75522	Q75543 (Tyrrania Anicia Juliana)	Q75522 (Anicia Faltonia Proba)	Q12296367	Q1154373	confirmed	Wikidata agrees Tyrrania Anicia Juliana is a parent of Anicia Faltonia Proba
4	Q75516	Q75516 (Anicius Hermogenianus Olybrius)	Q75603 (Demetrias)	Q1372249	Q3625008	confirmed	Wikidata agrees Anicius Hermogenianus Olybrius is a parent of Demetrias
4	Q75516	Q75603 (Demetrias)	Q75558 (Clodia Celsina)	Q3625008		unknown	no Wikidata ID for Clodia Celsina
4	Q75516	Q75558 (Clodia Celsina)	Q65002 (Sextus Claudius Petronius Probus)		Q1542092	unknown	no Wikidata ID for Clodia Celsina
4	Q75516	Q65002 (Sextus Claudius Petronius Probus)	Q75516 (Anicius Hermogenianus Olybrius)	Q1542092	Q1372249	confirmed	Wikidata agrees Sextus Claudius Petronius Probus is a parent of Anicius Hermogenianus Olybrius
6	Q138363	Q138363 (Gepaepyris)	Q138365 (Tiberius Julius Cotys I)	Q2720247	Q2711623	confirmed	Wikidata agrees Gepaepyris is a parent of Tiberius Julius Cotys I
6	Q138363	Q138365 (Tiberius Julius Cotys I)	Q148022 (Rhescuporis I)	Q2711623	Q2713411	confirmed	Wikidata agrees Tiberius Julius Cotys I is a parent of Rhescuporis I
6	Q138363	Q148022 (Rhescuporis I)	Q144020 (Cotys II)	Q2713411	Q15483438	confirmed	Wikidata agrees Rhescuporis I is a parent of Cotys II
6	Q138363	Q144020 (Cotys II)	Q141360 (Rhoemetalces I)	Q15483438	Q2713422	confirmed	Wikidata agrees Cotys II is a parent of Rhoemetalces I
6	Q138363	Q141360 (Rhoemetalces I)	Q139511 (Cotys III)	Q2713422	Q2998641	confirmed	Wikidata agrees Rhoemetalces I is a parent of Cotys III
6	Q138363	Q139511 (Cotys III)	Q138363 (Gepaepyris)	Q2998641	Q2720247	confirmed	Wikidata agrees Cotys III is a parent of Gepaepyris
3	Q3457	Q3457 (Miguel de Cervantes)	Q31038 (Juan de Cervantes)	Q5682		unknown	no Wikidata ID for Juan de Cervantes
3	Q3457	Q31038 (Juan de Cervantes)	Q32086 (Rodrigo Cervantes Torreblanca)			unknown	no Wikidata ID for Juan de Cervantes and Rodrigo Cervantes Torreblanca
3	Q3457	Q32086 (Rodrigo Cervantes Torreblanca)	Q3457 (Miguel de Cervantes)		Q5682	unknown	no Wikidata ID for Rodrigo Cervantes Torreblanca
2	Q90982	Q90982 (Esther bat Yosef ben 'Amram haDayyan al-Sijilma)	Q88454 (Esther bat Sahlan ben Abraham)			unknown	no Wikidata ID for Esther bat Yosef ben 'Amram haDayyan al-Sijilma and Esther bat Sahlan ben Abraham
2	Q90982	Q88454 (Esther bat Sahlan ben Abraham)	Q90982 (Esther bat Yosef ben 'Amram haDayyan al-Sijilma)			unknown	no Wikidata ID for Esther bat Sahlan ben Abraham and Esther bat Yosef ben 'Amram haDayyan al-Sijilma
28	Q61957	Q61957 (Claudia Crispina)	Q61565 (Constantius Chlorus)	Q867859	Q131195	confirmed	Wikidata agrees Claudia Crispina is a parent of Constantius Chlorus
28	Q61957	Q61565 (Constantius Chlorus)	Q136506 (Flavia Julia Constantia)	Q131195	Q238023	confirmed	Wikidata agrees Constantius Chlorus is a parent of Flavia Julia Constantia
28	Q61957	Q136506 (Flavia Julia Constantia)	Q73308 (Licinius Varus)	Q238023		unknown	no Wikidata ID for Licinius Varus
28	Q61957	Q73308 (Licinius Varus)	Q73140 (Gaius Lincinius Varus)			unknown	no Wikidata ID for Licinius Varus and Gaius Lincinius Varus
28	Q61957	Q73140 (Gaius Lincinius Varus)	Q72966 (Lincinia Varus)			unknown	no Wikidata ID for Gaius Lincinius Varus and Lincinia Varus
28	Q61957	Q72966 (Lincinia Varus)	Q72807 (Publius Mucius Scaevola)		Q2066659	unknown	no Wikidata ID for Lincinia Varus
28	Q61957	Q72807 (Publius Mucius Scaevola)	Q141474 (Publius Licinius Crassus Dives Mucianus)	Q2066659	Q715499	confirmed	Wikidata agrees Publius Mucius Scaevola is a parent of Publius Licinius Crassus Dives Mucianus
28	Q61957	Q141474 (Publius Licinius Crassus Dives Mucianus)	Q72972 (Publius Licinius Crassus Dives)	Q715499	Q29518656	confirmed	Wikidata agrees Publius Licinius Crassus Dives Mucianus is a parent of Publius Licinius Crassus Dives
28	Q61957	Q72972 (Publius Licinius Crassus Dives)	Q72981 (Publius Licinius Crassus)	Q29518656	Q20100913	confirmed	Wikidata agrees Publius Licinius Crassus Dives is a parent of Publius Licinius Crassus
28	Q61957	Q72981 (Publius Licinius Crassus)	Q72831 (Marcus Licinius Crassus)	Q20100913	Q19715630	contradicted	Wikidata records no link between them
28	Q61957	Q72831 (Marcus Licinius Crassus)	Q72657 (Publius Licinius Crassus Dives)	Q19715630	Q656527	confirmed	Wikidata agrees Marcus Licinius Crassus is a parent of Publius Licinius Crassus Dives
28	Q61957	Q72657 (Publius Licinius Crassus Dives)	Q72933 (Marcus Licinius Crassus)	Q656527		unknown	no Wikidata ID for Marcus Licinius Crassus
28	Q61957	Q72933 (Marcus Licinius Crassus)	Q72774 (Licinia Crassa Pilius)			unknown	no Wikidata ID for Marcus Licinius Crassus and Licinia Crassa Pilius
28	Q61957	Q72774 (Licinia Crassa Pilius)	Q72603 (Pilia)		Q2292963	unknown	no Wikidata ID for Licinia Crassa Pilius
28	Q61957	Q72603 (Pilia)	Q72425 (Attica)	Q2292963	Q152626	confirmed	Wikidata agrees Pilia is a parent of Attica
28	Q61957	Q72425 (Attica)	Q72239 (Vipsania Agrippina)	Q152626	Q232090	confirmed	Wikidata agrees Attica is a parent of Vipsania Agrippina
28	Q61957	Q72239 (Vipsania Agrippina)	Q77611 (Drusus Julius Caesar)	Q232090	Q313737	confirmed	Wikidata agrees Vipsania Agrippina is a parent of Drusus Julius Caesar
28	Q61957	Q77611 (Drusus Julius Caesar)	Q77386 (Julia Livia)	Q313737		unknown	no Wikidata ID for Julia Livia
28	Q61957	Q77386 (Julia Livia)	Q70152 (Rubellia Bassa)			unknown	no Wikidata ID for Julia Livia and Rubellia Bassa
28	Q61957	Q70152 (Rubellia Bassa)	Q68488 (Octavia)			unknown	no Wikidata ID for Rubellia Bassa and Octavia
28	Q61957	Q68488 (Octavia)	Q66916 (Curtilia Mancia)		Q107638183	unknown	no Wikidata ID for Octavia
28	Q61957	Q66916 (Curtilia Mancia)	Q65552 (Domitia Lucilla)	Q107638183	Q12278988	confirmed	Wikidata agrees Curtilia Mancia is a parent of Domitia Lucilla
28	Q61957	Q65552 (Domitia Lucilla)	Q139826 (Calvisia Domitia Lucilla)	Q12278988	Q1815905	confirmed	Wikidata agrees Domitia Lucilla is a parent of Calvisia Domitia Lucilla
28	Q61957	Q139826 (Calvisia Domitia Lucilla)	Q63780 (Marcus Aurelius)	Q1815905	Q1430	confirmed	Wikidata agrees Calvisia Domitia Lucilla is a parent of Marcus Aurelius
28	Q61957	Q63780 (Marcus Aurelius)	Q63192 (Lucilla)	Q1430	Q242466	confirmed	Wikidata agrees Marcus Aurelius is a parent of Lucilla
28	Q61957	Q63192 (Lucilla)	Q62704 (Lucius Aurellius Commodus Pompeianus)	Q242466	Q716684	confirmed	Wikidata agrees Lucilla is a parent of Lucius Aurellius Commodus Pompeianus
28	Q61957	Q62704 (Lucius Aurellius Commodus Pompeianus)	Q62255 (Aurelia Pompeiana)	Q716684	Q109793322	confirmed	Wikidata agrees Lucius Aurellius Commodus Pompeianus is a parent of Aurelia Pompeiana
28	Q61957	Q62255 (Aurelia Pompeiana)	Q61957 (Claudia Crispina)	Q109793322	Q867859	confirmed	Wikidata agrees Aurelia Pompeiana is a parent of Claudia Crispina
3	Q76693	Q76693 (Sergius Octavius Pontianus Laenes Octavius Pontainus)	Q77155 (Sergius Ovtavius Laenes)			unknown	no Wikidata ID for Sergius Octavius Pontianus Laenes Octavius Pontainus and Sergius Ovtavius Laenes
3	Q76693	Q77155 (Sergius Ovtavius Laenes)	Q76933 (Sergius Octavius Pontainus)			unknown	no Wikidata ID for Sergius Ovtavius Laenes and Sergius Octavius Pontainus
3	Q76693	Q76933 (Sergius Octavius Pontainus)	Q76693 (Sergius Octavius Pontianus Laenes Octavius Pontainus)			unknown	no Wikidata ID for Sergius Octavius Pontainus and Sergius Octavius Pontianus Laenes Octavius Pontainus
3	Q141474	Q141474 (Publius Licinius Crassus Dives Mucianus)	Q72972 (Publius Licinius Crassus Dives)	Q715499	Q29518656	confirmed	Wikidata agrees Publius Licinius Crassus Dives Mucianus is a parent of Publius Licinius Crassus Dives
3	Q141474	Q72972 (Publius Licinius Crassus Dives)	Q72810 (Licinia)	Q29518656	Q12284962	contradicted	Wikidata records no link between them
3	Q141474	Q72810 (Licinia)	Q141474 (Publius Licinius Crassus Dives Mucianus)	Q12284962	Q715499	confirmed	Wikidata agrees Licinia is a parent of Publius Licinius Crassus Dives Mucianus
4	Q78264	Q78264 (Lucius Pinarius)	Q78108 (Lucius Pinarius Scarpus)	Q382127		unknown	no Wikidata ID for Lucius Pinarius Scarpus
4	Q78264	Q78108 (Lucius Pinarius Scarpus)	Q77955 (Lucius Pinarius Scarpus)			unknown	no Wikidata ID for Lucius Pinarius Scarpus and Lucius Pinarius Scarpus
4	Q78264	Q77955 (Lucius Pinarius Scarpus)	Q77782 (Pinarius)		Q93953755	unknown	no Wikidata ID for Lucius Pinarius Scarpus
4	Q78264	Q77782 (Pinarius)	Q78264 (Lucius Pinarius)	Q93953755	Q382127	confirmed	Wikidata agrees Pinarius is a parent of Lucius Pinarius
3	Q72798	Q72798 (Marcus Livius Drusus)	Q73119 (Marcus Livius Drusus)	Q703346	Q433463	confirmed	Wikidata agrees Marcus Livius Drusus is a parent of Marcus Livius Drusus
3	Q72798	Q73119 (Marcus Livius Drusus)	Q72951 (Gaius Livius Drusus)	Q433463	Q1270114	contradicted	Wikidata records no link between them
3	Q72798	Q72951 (Gaius Livius Drusus)	Q72798 (Marcus Livius Drusus)	Q1270114	Q703346	confirmed	Wikidata agrees Gaius Livius Drusus is a parent of Marcus Livius Drusus
3	Q73119	Q73119 (Marcus Livius Drusus)	Q72951 (Gaius Livius Drusus)	Q433463	Q1270114	contradicted	Wikidata records no link between them
3	Q73119	Q72951 (Gaius Livius Drusus)	Q73284 (Q73284)	Q1270114		unknown	no Wikidata ID for Q73284
3	Q73119	Q73284 (Q73284)	Q73119 (Marcus Livius Drusus)		Q433463	unknown	no Wikidata ID for Q73284
11	Q2035	Q2035 (Yama Dharma King of Death)	Q153444 (SUNITA Anga)			unknown	no Wikidata ID for Yama Dharma King of Death and SUNITA Anga
11	Q2035	Q153444 (SUNITA Anga)	Q153438 (VENA Anga)			unknown	no Wikidata ID for SUNITA Anga and VENA Anga
11	Q2035	Q153438 (VENA Anga)	Q153429 (PRITHU (Vishnu's amsam) Vena)			unknown	no Wikidata ID for VENA Anga and PRITHU (Vishnu's amsam) Vena
11	Q2035	Q153429 (PRITHU (Vishnu's amsam) Vena)	Q1989 (Vijitashva)			unknown	no Wikidata ID for PRITHU (Vishnu's amsam) Vena and Vijitashva
11	Q2035	Q1989 (Vijitashva)	Q1978 (Havirdhana)			unknown	no Wikidata ID for Vijitashva and Havirdhana
11	Q2035	Q1978 (Havirdhana)	Q49707 (Prachinbarhi)			unknown	no Wikidata ID for Havirdhana and Prachinbarhi
11	Q2035	Q49707 (Prachinbarhi)	Q49634 (Prachetas (10 sons))			unknown	no Wikidata ID for Prachinbarhi and Prachetas (10 sons)
11	Q2035	Q49634 (Prachetas (10 sons))	Q153390 (DAKSHA (reborn as DAKSHA) Prachetas)			unknown	no Wikidata ID for Prachetas (10 sons) and DAKSHA (reborn as DAKSHA) Prachetas
11	Q2035	Q153390 (DAKSHA (reborn as DAKSHA) Prachetas)	Q153381 (Aditi Kashyapa)			unknown	no Wikidata ID for DAKSHA (reborn as DAKSHA) Prachetas and Aditi Kashyapa
11	Q2035	Q153381 (Aditi Kashyapa)	Q1991 (Surya Sun God)			unknown	no Wikidata ID for Aditi Kashyapa and Surya Sun God
11	Q2035	Q1991 (Surya Sun God)	Q2035 (Yama Dharma King of Death)			unknown	no Wikidata ID for Surya Sun God and Yama Dharma King of Death
12	Q153465	Q153465 (TVASTAR Kashyapa)	Q153460 (SANJNA \ Saranyu Saranyu Saranyu/)			unknown	no Wikidata ID for TVASTAR Kashyapa and SANJNA \ Saranyu Saranyu Saranyu/
12	Q153465	Q153460 (SANJNA \ Saranyu Saranyu Saranyu/)	Q2035 (Yama Dharma King of Death)			unknown	no Wikidata ID for SANJNA \ Saranyu Saranyu Saranyu/ and Yama Dharma King of Death
12	Q153465	Q2035 (Yama Dharma King of Death)	Q153444 (SUNITA Anga)			unknown	no Wikidata ID for Yama Dharma King of Death and SUNITA Anga
12	Q153465	Q153444 (SUNITA Anga)	Q153438 (VENA Anga)			unknown	no Wikidata ID for SUNITA Anga and VENA Anga
12	Q153465	Q153438 (VENA Anga)	Q153429 (PRITHU (Vishnu's amsam) Vena)			unknown	no Wikidata ID for VENA Anga and PRITHU (Vishnu's amsam) Vena
12	Q153465	Q153429 (PRITHU (Vishnu's amsam) Vena)	Q1989 (Vijitashva)			unknown	no Wikidata ID for PRITHU (Vishnu's amsam) Vena and Vijitashva
12	Q153465	Q1989 (Vijitashva)	Q1978 (Havirdhana)			unknown	no Wikidata ID for Vijitashva and Havirdhana
12	Q153465	Q1978 (Havirdhana)	Q49707 (Prachinbarhi)			unknown	no Wikidata ID for Havirdhana and Prachinbarhi
12	Q153465	Q49707 (Prachinbarhi)	Q49634 (Prachetas (10 sons))			unknown	no Wikidata ID for Prachinbarhi and Prachetas (10 sons)
12	Q153465	Q49634 (Prachetas (10 sons))	Q153390 (DAKSHA (reborn as DAKSHA) Prachetas)			unknown	no Wikidata ID for Prachetas (10 sons) and DAKSHA (reborn as DAKSHA) Prachetas
12	Q153465	Q153390 (DAKSHA (reborn as DAKSHA) Prachetas)	Q153381 (Aditi Kashyapa)			unknown	no Wikidata ID for DAKSHA (reborn as DAKSHA) Prachetas and Aditi Kashyapa
12	Q153465	Q153381 (Aditi Kashyapa)	Q153465 (TVASTAR Kashyapa)			unknown	no Wikidata ID for Aditi Kashyapa and TVASTAR Kashyapa
12	Q72786	Q72786 (Marcus Aemilius Lepidus)	Q72693 (Quintus Aemilius Lepidus)		Q11944252	unknown	no Wikidata ID for Marcus Aemilius Lepidus
12	Q72786	Q72693 (Quintus Aemilius Lepidus)	Q72514 (Marcus Aemilius Lepidus)	Q11944252	Q435329	confirmed	Wikidata agrees Quintus Aemilius Lepidus is a parent of Marcus Aemilius Lepidus
12	Q72786	Q72514 (Marcus Aemilius Lepidus)	Q73893 (Lucius Cornelius Scipio Asiaticus Aemilianus)	Q435329	Q7234050	confirmed	Wikidata agrees Marcus Aemilius Lepidus is a parent of Lucius Cornelius Scipio Asiaticus Aemilianus
12	Q72786	Q73893 (Lucius Cornelius Scipio Asiaticus Aemilianus)	Q73794 (Gnaeus Cornelius Scipio)	Q7234050	Q128598522	contradicted	Wikidata records no link between them
12	Q72786	Q73794 (Gnaeus Cornelius Scipio)	Q73692 (Lucius Cornelius Scipio Barbatus)	Q128598522	Q374630	confirmed	Wikidata agrees Gnaeus Cornelius Scipio is a parent of Lucius Cornelius Scipio Barbatus
12	Q72786	Q73692 (Lucius Cornelius Scipio Barbatus)	Q73569 (Lucius Cornelius Scipio)	Q374630	Q708483	confirmed	Wikidata agrees Lucius Cornelius Scipio Barbatus is a parent of Lucius Cornelius Scipio
12	Q72786	Q73569 (Lucius Cornelius Scipio)	Q73446 (Publius Cornelius Scipio)	Q708483	Q3293507	confirmed	Wikidata agrees Lucius Cornelius Scipio is a parent of Publius Cornelius Scipio
12	Q72786	Q73446 (Publius Cornelius Scipio)	Q73299 (Scipio Africanus)	Q3293507	Q2253	confirmed	Wikidata agrees Publius Cornelius Scipio is a parent of Scipio Africanus
12	Q72786	Q73299 (Scipio Africanus)	Q73131 (Cornelia Africana Major)	Q2253	Q5171151	confirmed	Wikidata agrees Scipio Africanus is a parent of Cornelia Africana Major
12	Q72786	Q73131 (Cornelia Africana Major)	Q72957 (Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio)	Q5171151		unknown	no Wikidata ID for Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio
12	Q72786	Q72957 (Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio)	Q72801 (Cornelia)		Q100804879	unknown	no Wikidata ID for Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio
12	Q72786	Q72801 (Cornelia)	Q72786 (Marcus Aemilius Lepidus)	Q100804879		unknown	no Wikidata ID for Marcus Aemilius Lepidus
3	Q73383	Q73383 (Lucius Junius Brutus)	Q73644 (C. Junius Brutus)			unknown	no Wikidata ID for Lucius Junius Brutus and C. Junius Brutus
3	Q73383	Q73644 (C. Junius Brutus)	Q73518 (C. Junius Junius Brutus Brutus)			unknown	no Wikidata ID for C. Junius Brutus and C. Junius Junius Brutus Brutus
3	Q73383	Q73518 (C. Junius Junius Brutus Brutus)	Q73383 (Lucius Junius Brutus)			unknown	no Wikidata ID for C. Junius Junius Brutus Brutus and Lucius Junius Brutus
5	Q131896	Q131896 (Tyro)	Q131902 (Neleus)	Q1126715	Q637955	confirmed	Wikidata agrees Tyro is a parent of Neleus
5	Q131896	Q131902 (Neleus)	Q75123 (Deimachus)	Q637955	Q1183226	contradicted	Wikidata records no link between them
5	Q131896	Q75123 (Deimachus)	Q132251 (Enarete)	Q1183226	Q48665	confirmed	Wikidata agrees Deimachus is a parent of Enarete
5	Q131896	Q132251 (Enarete)	Q132367 (Salmoneus)	Q48665	Q1131643	confirmed	Wikidata agrees Enarete is a parent of Salmoneus
5	Q131896	Q132367 (Salmoneus)	Q131896 (Tyro)	Q1131643	Q1126715	confirmed	Wikidata agrees Salmoneus is a parent of Tyro
2	Q78402	Q78402 (Q78402)	Q78719 (Cleopatra III of Egypt)		Q40003	unknown	no Wikidata ID for Q78402
2	Q78402	Q78719 (Cleopatra III of Egypt)	Q78402 (Q78402)	Q40003		unknown	no Wikidata ID for Q78402
7	Q130019	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
7	Q130019	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
7	Q130019	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
7	Q130019	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
7	Q130019	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
7	Q130019	Q74698 (Tros)	Q90309 (Oceanus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Oceanus
7	Q130019	Q90309 (Oceanus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Oceanus is a parent of Asia
6	Q132328	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
6	Q132328	Q74698 (Tros)	Q90309 (Oceanus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Oceanus
6	Q132328	Q90309 (Oceanus)	Q130067 (Scamander)	Q161419	Q1134694	confirmed	Wikidata agrees Oceanus is a parent of Scamander
6	Q132328	Q130067 (Scamander)	Q131066 (Teucer, king of Troy)	Q1134694	Q1513788	confirmed	Wikidata agrees Scamander is a parent of Teucer, king of Troy
6	Q132328	Q131066 (Teucer, king of Troy)	Q132324 (Batea)	Q1513788	Q126319	confirmed	Wikidata agrees Teucer, king of Troy is a parent of Batea
6	Q132328	Q132324 (Batea)	Q132328 (Erichthonius of Dardania)	Q126319	Q1353705	confirmed	Wikidata agrees Batea is a parent of Erichthonius of Dardania
4	Q74698	Q74698 (Tros)	Q90309 (Oceanus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Oceanus
4	Q74698	Q90309 (Oceanus)	Q130077 (Simoeis)	Q161419	Q2479077	confirmed	Wikidata agrees Oceanus is a parent of Simoeis
4	Q74698	Q130077 (Simoeis)	Q131114 (Astyoche)	Q2479077	Q752353	confirmed	Wikidata agrees Simoeis is a parent of Astyoche
4	Q74698	Q131114 (Astyoche)	Q74698 (Tros)	Q752353	Q79999	contradicted	Wikidata records no link between them
6	Q130716	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
6	Q130716	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
6	Q130716	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
6	Q130716	Q74698 (Tros)	Q90309 (Oceanus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Oceanus
6	Q130716	Q90309 (Oceanus)	Q130015 (Pleione)	Q161419	Q463865	confirmed	Wikidata agrees Oceanus is a parent of Pleione
6	Q130716	Q130015 (Pleione)	Q130716 (Electra)	Q463865	Q858663	confirmed	Wikidata agrees Pleione is a parent of Electra
10	Q74973	Q74973 (Danaus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Danaus is a parent of Asia
10	Q74973	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
10	Q74973	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
10	Q74973	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
10	Q74973	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
10	Q74973	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
10	Q74973	Q74698 (Tros)	Q90309 (Oceanus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Oceanus
10	Q74973	Q90309 (Oceanus)	Q130061 (Nilus)	Q161419	Q685243	confirmed	Wikidata agrees Oceanus is a parent of Nilus
10	Q74973	Q130061 (Nilus)	Q131024 (Anchiroe)	Q685243	Q3615214	confirmed	Wikidata agrees Nilus is a parent of Anchiroe
10	Q74973	Q131024 (Anchiroe)	Q74973 (Danaus)	Q3615214	Q161419	contradicted	Wikidata records no link between them; it gives Danaus's parents as Uranus
12	Q132283	Q132283 (Libya)	Q90576 (Belus)	Q1129914	Q617753	confirmed	Wikidata agrees Libya is a parent of Belus
12	Q132283	Q90576 (Belus)	Q74973 (Danaus)	Q617753	Q161419	contradicted	Wikidata records no link between them; it gives Danaus's parents as Uranus
12	Q132283	Q74973 (Danaus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Danaus is a parent of Asia
12	Q132283	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
12	Q132283	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
12	Q132283	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
12	Q132283	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
12	Q132283	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
12	Q132283	Q74698 (Tros)	Q90309 (Oceanus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Oceanus
12	Q132283	Q90309 (Oceanus)	Q130061 (Nilus)	Q161419	Q685243	confirmed	Wikidata agrees Oceanus is a parent of Nilus
12	Q132283	Q130061 (Nilus)	Q131030 (Memphis)	Q685243	Q788268	confirmed	Wikidata agrees Nilus is a parent of Memphis
12	Q132283	Q131030 (Memphis)	Q132283 (Libya)	Q788268	Q1129914	confirmed	Wikidata agrees Memphis is a parent of Libya
6	Q130582	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
6	Q130582	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
6	Q130582	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
6	Q130582	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
6	Q130582	Q74698 (Tros)	Q75225 (Iapetos)	Q79999	Q179543	confirmed	Wikidata agrees Tros is a parent of Iapetos
6	Q130582	Q75225 (Iapetos)	Q130582 (Atlas)	Q179543	Q130818	confirmed	Wikidata agrees Iapetos is a parent of Atlas
12	Q74677	Q74677 (Ops)	Q74656 (Q74656)	Q96761		unknown	no Wikidata ID for Q74656
12	Q74677	Q74656 (Q74656)	Q131757 (Epaphus)		Q675699	unknown	no Wikidata ID for Q74656
12	Q74677	Q131757 (Epaphus)	Q132283 (Libya)	Q675699	Q1129914	confirmed	Wikidata agrees Epaphus is a parent of Libya
12	Q74677	Q132283 (Libya)	Q90576 (Belus)	Q1129914	Q617753	confirmed	Wikidata agrees Libya is a parent of Belus
12	Q74677	Q90576 (Belus)	Q74973 (Danaus)	Q617753	Q161419	contradicted	Wikidata records no link between them; it gives Danaus's parents as Uranus
12	Q74677	Q74973 (Danaus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Danaus is a parent of Asia
12	Q74677	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
12	Q74677	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
12	Q74677	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
12	Q74677	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
12	Q74677	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
12	Q74677	Q74698 (Tros)	Q74677 (Ops)	Q79999	Q96761	contradicted	Wikidata records no link between them
6	Q130582	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
6	Q130582	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
