qid,english_label,english_description,label_count,description_count,wikidata_qids,geni_ids,wikidata_count,geni_count
Q56117,Li Yu,Tang dynasty person CBDB = 189346,7,1,Q45555955,6000000075060473108,1,1
Q56119,Hanna-Buch,,4,3,Q129404479,6000000006727863085,1,1
Q56121,Li Ying,Tang dynasty person CBDB = 189347,7,1,Q45556017,6000000075060556045,1,1
Q56123,Fyodor Lyubartovich,,12,2,Q4493877,6000000028818686154,1,1
Q56125,Li Bo,Tang dynasty person CBDB = 189348,7,1,Q45556081,6000000075060197065,1,1
Q56127,,,4,2,Q130529662,6000000020985995840,1,1
Q56129,Li Xun,Tang dynasty person CBDB = 189349,7,1,Q45556143,6000000075060141189,1,1
Q56131,,,4,2,Q130529663,6000000020986031822,1,1
Q56133,Li Nuan,Tang dynasty person CBDB = 188078,7,1,Q45479241,6000000075061180824,1,1
Q56135,Uliana of Tver,Second wife of King Algirdas of Lithuania,32,13,Q128399,6000000001409339120,1,1
Q56137,Li Huan,Tang dynasty person CBDB = 188086,7,1,Q45479748,6000000075061102844,1,1
Q56139,Maria of Vitebsk,Russian princess,18,9,Q2084307,6000000003858704728,1,1
Q56141,Li Pu,Tang dynasty person CBDB = 188087,7,1,Q45479810,6000000075060994905,1,1
Q56143,Władysław II Jagiełło,King of Poland and Grand Duke of Lithuania,73,28,Q54049,6000000001397950212,1,1
Q56145,Li Rijin,Tang dynasty person CBDB = 188109,7,1,Q45481216,6000000075061215821,1,1
Q56147,Skirgaila,Grand Duke of Lithuania,30,17,Q992978,6000000053647150910,1,1
Q56149,Li Chan,Tang dynasty person CBDB = 188113,7,1,Q45481470,6000000075060141237,1,1
Q56151,Kaributas,son of the Grand Duke of Lithuania,19,9,Q2464977,6000000053646758093,1,1
Q56153,Li Huaishun,Tang dynasty person CBDB = 188116,7,1,Q45481664,6000000075061170855,1,1
Q56155,Lengvenis,Lithuanian noble,22,7,Q1050358,6000000053647216963,1,1
Q56157,Li Xiyue,Tang dynasty person CBDB = 188125,7,1,Q45482243,6000000075060938989,1,1
Q56159,Karigaila,"Lithuanian duke, son of Algirdas, ruler of Mstsislaw",19,7,Q2992106,6000000053646999116,1,1
Q56161,Li Tingjin,Tang dynasty person CBDB = 188135,7,1,Q45482875,6000000075061121884,1,1
Q56163,Vygantas,Lithuanian noble,17,6,Q4110531,6000000006727821988,1,1
Q56165,Li Tingzhi,Tang dynasty person CBDB = 188146,7,1,Q45483573,6000000075060052287,1,1
Q56167,Švitrigaila,Grand Duke of Lithuania,29,17,Q392792,6000000053647447843,1,1
Q56169,Li Shaozong,Tang dynasty person CBDB = 188160,7,1,Q45484464,6000000075061224824,1,1
Q56173,Li Xingzong,Tang dynasty person CBDB = 188162,7,1,Q45484595,6000000075061154894,1,1
Q56176,Li Xingchang,Tang dynasty person CBDB = 188168,7,1,Q45484981,6000000075060746109,1,1
Q56179,Li Zhongyi,Tang dynasty person CBDB = 188181,7,1,Q45485814,6000000075061293821,1,1
Q56182,Li Quanjiao,Tang dynasty person CBDB = 188199,7,1,Q45486961,6000000075059048522,1,1
Q56185,Li Quanli,Tang dynasty person CBDB = 188200,7,1,Q45487026,6000000075060926926,1,1
Q56188,Li Quanjing,Tang dynasty person CBDB = 188201,7,1,Q45487089,6000000075061157892,1,1
Q56191,Li Siqin,Tang dynasty person CBDB = 188203,7,1,Q45487214,6000000075060534226,1,1
Q56194,Li Sijie,Tang dynasty person CBDB = 188204,7,1,Q45487280,6000000075061195867,1,1
Q56197,Li Biao,Tang dynasty person CBDB = 188210,7,1,Q45487665,6000000075060214153,1,1
Q56200,Li Haoran,Tang dynasty person CBDB = 188216,7,1,Q45488050,6000000075060599999,1,1
Q56203,Wei Chu,Northern Wei person CBDB = 30890,8,1,Q45418715,6000000074745352073,1,1
Q56212,Wei Ming,Tang dynasty person CBDB = 176017,8,1,Q45681927,6000000074745957851,1,1
Q56215,Wei Sui,Tang dynasty person CBDB = 176023,8,1,Q45682117,6000000074745952865,1,1
Q56218,Wei Wan,Tang dynasty person CBDB = 176024,9,2,Q45682148,6000000074745564037,1,1
Q56221,Wei Zhan,Tang dynasty person CBDB = 30897,8,1,Q45418729,6000000074744668522,1,1
Q56236,Liu Xian,Liu Song dynasty person CBDB = 31710,8,1,Q45420196,6000000075345015401,1,1
Q56239,Liu Gui,"person, CBDB = 171387",8,1,Q45673622,6000000074747016853,1,1
Q56242,Liu Sengli,Northern Wei person CBDB = 31716,8,1,Q45420205,6000000074747073825,1,1
Q56251,Pei Datong,Tang dynasty person CBDB = 31894,9,1,Q45420506,6000000057291153896,1,1
Q58629,King Dongmyeong of Goguryeo,Founder of the Goguryeo Empire (37–19 BC),48,12,Q378502,6000000012927584450,1,1
Q58635,Yuri,the second king of Goguryeo Empire (19 BC–18),31,8,Q498412,6000000012928028314,1,1
Q58674,Li Gao,Duke of Liang from 400 to 417,20,6,Q712325,6000000074767443882,1,1
Q58695,Li Fan,Northern Liang person CBDB = 31116,10,1,Q15916852,6000000074767375914,1,1
Q58698,Li Yu,Northern Wei person CBDB = 31123,8,1,Q15941897,6000000075334579859,1,1
Q58710,Li Mou,Tang dynasty person CBDB = 186961,8,1,Q45692318,6000000074733774373,1,1
Q58713,Li Shangshan,Tang dynasty person CBDB = 186944,7,1,Q45691867,6000000074734954900,1,1
Q58716,Li Mou,Tang dynasty person CBDB = 186953,8,1,Q45692090,6000000074734908904,1,1
Q58719,Li Lingkui,Tang dynasty person CBDB = 186949,9,2,Q45691978,6000000074734898927,1,1
Q58722,Li Xuanze,Tang dynasty person CBDB = 189895,7,1,Q45580413,6000000074735023866,1,1
Q58731,Li Ku,Tang dynasty person CBDB = 186972,8,1,Q45692601,6000000074735215828,1,1
Q58734,Li Xi,Tang dynasty person CBDB = 186973,7,1,Q45692627,6000000074735167857,1,1
Q58743,Li Mou,Tang dynasty person CBDB = 187252,8,1,Q45699639,6000000074734626218,1,1
Q58746,Li Wu,Tang dynasty person CBDB = 187247,7,1,Q45699513,6000000074735324902,1,1
Q58749,Li Nong,Tang dynasty person CBDB = 187248,7,1,Q45699537,6000000074735385867,1,1
Q58752,Li Han,"person, CBDB = 154935",7,1,Q45658381,6000000074734982024,1,1
Q58758,Li Mou,Tang dynasty person CBDB = 187286,8,1,Q45700509,6000000074735304930,1,1
Q58773,Li Mou,Tang dynasty person CBDB=187260,8,1,Q45699842,6000000074735232939,1,1
Q58776,Li Siyi,Tang dynasty person CBDB = 187273,7,1,Q45700176,6000000074734671178,1,1
Q58800,Li Tong,Tang dynasty person CBDB = 187389,7,1,Q45438973,6000000074734564082,1,1
Q58803,Li Han,Tang dynasty person CBDB = 187390,7,1,Q45439037,6000000074733626537,1,1
Q58863,Li Mou,Tang dynasty person CBDB = 186985,8,1,Q45692909,6000000074735242823,1,1
Q58920,Li Yuan,Tang dynasty person CBDB = 187110,7,1,Q45696198,6000000074735116930,1,1
Q58923,Li Yan,Tang dynasty person CBDB = 187152,7,1,Q45697276,6000000074735096938,1,1
Q58926,Li Mou,Tang dynasty person CBDB = 187153,8,1,Q45697303,6000000074733815490,1,1
Q58929,Li Dan,Tang dynasty person CBDB=187156,8,1,Q45697376,6000000074734735028,1,1
Q58932,Li Lun,Tang dynasty person CBDB = 187211,8,1,Q45698792,6000000074734981049,1,1
Q58935,Li Rui,Tang dynasty person CBDB = 187219,7,1,Q45699001,6000000074734578292,1,1
Q58938,Li Heng,Tang dynasty person CBDB = 187222,7,1,Q45699079,6000000074734640149,1,1
Q58941,Li Rui,Tang dynasty person CBDB = 188258,7,1,Q45490536,6000000074735253898,1,1
Q58944,Li Dun,Tang dynasty person CBDB = 187224,8,1,Q45699129,6000000074734328321,1,1
Q58952,Li Yi,Tang dynasty person CBDB = 145459,8,1,Q45462060,6000000075398898326,1,1
Q58979,Li Ji,Tang dynasty person CBDB = 145486,7,1,Q45463205,6000000075399528913,1,1
Q58988,Li Fu,Tang dynasty person CBDB = 32209,9,1,Q45421102,6000000075398452605,1,1
Q58991,Li Guozhen,Tang dynasty person CBDB = 145969,8,1,Q45487301,6000000075398164704,1,1
Q59018,Yang Huigu,Northern Wei person CBDB = 30955,9,1,Q45418837,6000000075328506865,1,1
Q59024,Dou Kui,Tang dynasty person CBDB = 31816,8,1,Q10454327,6000000075369593821,1,1
Q59027,Dou Shangyi,Tang dynasty person CBDB = 31818,8,1,Q45420381,6000000075372354824,1,1
Q59033,Liu Sengxi,Northern Wei person CBDB=31761,8,1,Q24835861,6000000075367916856,1,1
Q59039,Liu Gui,Northern Zhou person CBDB = 178211,9,1,Q24886798,6000000075367471879,1,1
Q59042,Liu Hong,Northern Zhou person CBDB = 31782,8,1,Q45420321,6000000021122034508,1,1
Q59045,Liu Heng,Tang dynasty person CBDB = 31789,9,1,Q11109368,6000000021121709617,1,1
Q59048,Liu Ze,Sui dynasty person CBDB = 31785,7,1,Q28481660,6000000021122163291,1,1
Q59051,Liu Kai,Tang dynasty person CBDB = 31787,8,1,Q28481672,6000000075345563336,1,1
Q59054,Liu Xie,Tang dynasty person CBDB = 31784,8,1,Q45420324,6000000075345159554,1,1
Q59057,Liu Chuo,Tang dynasty person CBDB = 31786,8,1,Q45420327,6000000075346331984,1,1
Q59063,Liu Dayin,Tang dynasty person CBDB = 178164,8,1,Q45510571,6000000074713101849,1,1
Q59069,Liu Yin,Tang dynasty person CBDB = 178106,8,1,Q45507718,6000000074713097838,1,1
Q59072,Liu Mang,Tang dynasty person CBDB=178113,8,1,Q45508161,6000000074712686990,1,1
Q59326,Li Mou,Tang dynasty person CBDB = 187261,8,1,Q45699868,6000000074734329258,1,1
Q59329,Li Zhibao,Tang dynasty person CBDB = 187265,7,1,Q45699971,6000000074735036995,1,1
Q59439,Su Wei,Sui Dynasty politician (542-623),12,3,Q1079606,6000000074730269960,1,1
Q59442,Su Kui,Sui dynasty person CBDB = 11600,8,2,Q10514148,6000000074730399861,1,1
Q59445,Emperor Xianwen of Northern Wei,Northern Wei emperor,20,8,Q1071582,6000000074790323009,1,1
Q59481,Yuan Yong,Chinese imperial prince,18,2,Q1271854,6000000002188195243,1,1
Q59553,Emperor Xiaoming of Northern Wei,Northern Wei emperor,20,5,Q1071618,6000000074790367344,1,1
Q59577,Lu Daoqian,Northern Zhou person CBDB = 31543,8,1,Q18236406,6000000075345780835,1,1
Q59673,Yu Anding,Northern Wei person CBDB = 31471,7,1,Q45419767,6000000075344989980,1,1
Q59679,Yu Zhongwen,Sui dynasty person CBDB = 31487,10,1,Q6855791,6000000075345329845,1,1
Q59688,Yu Xuandao,Sui dynasty general,7,1,Q11371937,6000000075345505825,1,1
Q59691,Yu Xuanmin,Sui dynasty person CBDB = 31478,9,1,Q45419779,6000000075345589844,1,1
Q59700,Yu Shao,Tang dynasty writer and politician,9,2,Q11371946,6000000075404730861,1,1
Q59706,Yu Rongde,Tang dynasty person CBDB = 146054,8,1,Q45491766,6000000075405006853,1,1
Q59742,,,1,0,Q24833527,6000000144630552821,1,1
Q59745,,,1,0,Q133467845,6000000144630198831,1,1
Q59763,Wei Tong,Tang dynasty person CBDB = 180879,8,1,Q45661079,6000000074759749986,1,1
Q59769,Wei Yu,"person, CBDB = 180896",8,1,Q45661917,6000000074759928880,1,1
Q59772,Wei Xuanmin,"person, CBDB = 180912",8,1,Q45662683,6000000074759758974,1,1
Q59775,Wei Renji,Tang dynasty person CBDB = 180859,8,1,Q45659887,6000000074759919857,1,1
Q59778,Wei Wanqing,"person, CBDB = 162955",8,1,Q45526164,6000000074759683026,1,1
Q59781,Wei Xie,Tang dynasty person CBDB = 180843,8,1,Q18669248,6000000074759901886,1,1
Q59787,Wei Deyun,Tang dynasty person CBDB = 180951,8,1,Q45664367,6000000074759689000,1,1
Q59790,Wei Guayou,Tang dynasty person CBDB = 180831,8,1,Q45658449,6000000074759732994,1,1
Q59793,Wei Xiaozhong,Tang dynasty person CBDB = 146092,8,1,Q45494065,6000000074759219311,1,1
Q59796,Wei Mou,Tang dynasty person CBDB = 180807,8,1,Q45657616,6000000074759740953,1,1
Q60013,Yang Anren,Tang dynasty person CBDB = 172676,8,1,Q45503737,6000000074705692211,1,1
Q60016,Yang Qianxun,Tang dynasty person CBDB = 172747,8,1,Q45507482,6000000074706179917,1,1
Q60022,Yang Rong,Tang dynasty person CBDB = 32798,8,1,Q45422210,6000000074733469899,1,1
Q60025,Yang Zuan,"person, CBDB = 150360",8,1,Q45441548,6000000074733585839,1,1
Q60028,Yang Mou,Tang dynasty person CBDB = 172660,8,1,Q45502705,6000000074706210836,1,1
Q60031,Yang Chuyi,Tang dynasty person CBDB=172663,8,1,Q45502900,6000000074706030918,1,1
Q60034,Yang Chuxiang,Tang dynasty person CBDB = 172671,8,1,Q45503414,6000000074706080955,1,1
Q60040,Yang Xiaozhan,Tang dynasty person CBDB = 172791,8,1,Q45509574,6000000074706166887,1,1
Q60043,Yang Xiaoyan,Tang dynasty person CBDB = 172793,8,1,Q45509702,6000000074705877082,1,1
Q60046,Yang Xiaoyi,Tang dynasty person CBDB = 172820,8,1,Q45511224,6000000074705682280,1,1
Q60049,Xiao Shunzhi,Southern Qi person CBDB = 162162,18,3,Q15914389,6000000021150326904,1,1
Q60061,Xiao Yi,Liang dynasty person CBDB = 32065,18,2,Q10827258,6000000021150725082,1,1
Q60235,Zheng Cheng,Sui dynasty person CBDB = 135256,8,1,Q20689146,6000000074786081896,1,1
Q60238,Yang Cangqi,"person, CBDB = 161257",8,1,Q45454042,6000000074767856206,1,1
Q60241,Li Yong,Northern Wei person CBDB = 32845,8,1,Q45422283,6000000075327440937,1,1
Q60259,Li Kuan,Sui dynasty person CBDB = 30887,16,1,Q22814273,6000000075327625923,1,1
Q60293,"{'language': 'en', 'value': 'Flavius Areobindus Dagalaifus Areobindus'}",Byzantine general and politician (460-512),21,8,Q642469,6000000007151145957,1,1
Q60295,Xiao Fen,Tang dynasty person CBDB = 146063,8,1,Q45492341,6000000075398399140,1,1
Q60304,Xiao Xuanche,Tang dynasty person CBDB = 146073,8,1,Q45492974,6000000075398753914,1,1
Q60319,Zhang Anzhi,"person, CBDB = 176147",9,1,Q26197743,6000000074732902034,1,1
Q60322,Zhang Fou,"person, CBDB = 176149",8,1,Q45685570,6000000074733666909,1,1
Q60328,Xiao Mou,Tang dynasty person CBDB = 171689,9,1,Q45448943,6000000074732933164,1,1
Q60331,Xiao Mou,Tang dynasty person CBDB = 171692,9,1,Q45449130,6000000074733176913,1,1
Q60334,Xiao Zhongyu,Tang dynasty person CBDB = 171695,9,1,Q45449256,6000000074732607255,1,1
Q60379,Chen Fahui,Tang dynasty person CBDB = 21305,8,1,Q45397959,6000000074734064056,1,1
Q60403,Chen Mou,Tang dynasty person CBDB = 172292,8,1,Q45484354,6000000074734655833,1,1
Q60406,Chen Qiansheng,Tang dynasty person CBDB = 164710,8,1,Q45609513,6000000074734615827,1,1
Q60409,Chen Mou,Tang dynasty person CBDB = 172330,8,1,Q45486588,6000000074734328888,1,1
Q60412,Chen Fu,Tang dynasty person CBDB = 172336,7,1,Q45486973,6000000074734212962,1,1
Q60415,Chen Mou,Tang dynasty person CBDB = 172302,8,1,Q45484995,6000000074734353949,1,1
Q60421,Chen Jian,Tang dynasty person CBDB = 32787,8,1,Q45422189,6000000074733390318,1,1
Q60436,Zheng Shanguo,"person, CBDB = 186211",8,1,Q16904385,6000000074785776032,1,1
Q60448,Xue Bian,Northern Wei person CBDB = 18761,9,1,Q11622243,6000000074749371142,1,1
Q60451,Xue Ang,Northern Wei person CBDB = 33032,8,1,Q45422634,6000000074748710558,1,1
Q60452,"{'language': 'en', 'value': 'Dagalaifus'}","Roman politician, consul 461",15,5,Q1270265,6000000007151885324,1,1
Q60457,,,1,0,Q133503468,6000000116849125967,1,1
Q60460,Xue Ji,Northern Wei person CBDB = 33054,8,1,Q45422673,6000000074749680821,1,1
Q60466,Xue Shan,Northern Zhou person CBDB = 33028,8,1,Q45422627,6000000074749739920,1,1
Q60493,Xue Xiang,Tang dynasty person CBDB = 180263,8,1,Q45627190,6000000074749181316,1,1
Q60496,Xue Yong,Tang dynasty person CBDB = 180264,8,1,Q45627252,6000000074749614859,1,1
Q60499,Xue Zhenglun,Tang dynasty person CBDB = 24470,8,1,Q45406238,6000000074698232024,1,1
Q60502,Xue Zhengwen,Tang dynasty person CBDB=180414,8,1,Q45635984,6000000074697699189,1,1
Q60505,Xue Zhonggong,Tang dynasty person CBDB = 180359,8,1,Q45632785,6000000074697662027,1,1
Q60508,Xue Zhongyue,Tang dynasty person CBDB = 180362,8,1,Q45632972,6000000074697680999,1,1
Q60511,Xue Zhonghui,Tang dynasty person CBDB = 180365,8,1,Q45633159,6000000074697892015,1,1
Q60514,Xue Zhongsu,Tang dynasty person CBDB = 180367,8,1,Q45633285,6000000074697805977,1,1
Q60517,Xue Zhu,Tang dynasty person CBDB = 180370,8,1,Q45633476,6000000074697905981,1,1
Q60518,"{'language': 'en', 'value': 'Licinia Eudoxia'}",Roman Empress (422-493),44,13,Q232329,6000000000914324156,1,1
Q60520,Xue Shuda,Tang dynasty person CBDB = 180382,8,1,Q45634237,6000000074698121823,1,1
Q60523,Xue Zhongxiang,Tang dynasty person CBDB = 180386,8,1,Q45634492,6000000074697861040,1,1
Q60526,Xue Zhengfeng,Tang dynasty person CBDB = 180355,8,1,Q45632534,6000000074697968993,1,1
Q60529,Xue Ying,Tang dynasty person CBDB = 180318,8,1,Q45630280,6000000074749541994,1,1
Q60532,Xue Pi,Tang dynasty person CBDB = 180327,8,1,Q45630781,6000000074748950544,1,1
Q60535,Xue Jun,Tang dynasty person CBDB = 180331,8,1,Q45631032,6000000074749617970,1,1
Q60538,Xue Zhao,Tang dynasty person CBDB = 180344,8,1,Q45631846,6000000074749764840,1,1
Q60541,Xue Yi,Tang dynasty person CBDB = 180320,8,1,Q45630344,6000000074749680889,1,1
Q60544,Xue Ju,Tang dynasty person CBDB = 180321,8,1,Q45630406,6000000074749678858,1,1
Q60547,Xue Dang,Tang dynasty person CBDB = 180300,8,1,Q45629202,6000000074749038425,1,1
Q60548,"{'language': 'en', 'value': 'Valentinian III'}",emperor of the Western Roman Empire (419-455),78,23,Q170026,6000000002119493371,1,1
Q60550,Xue Chang,Tang dynasty person CBDB = 180301,8,1,Q45629267,6000000074749730841,1,1
Q60553,Xue Mo,Tang dynasty person CBDB=180303,8,1,Q45629391,6000000074749651898,1,1
Q60556,Xue Zhen,Tang dynasty person CBDB = 180304,8,1,Q45629455,6000000074748710528,1,1
Q60559,Xue Jian,Tang dynasty person CBDB = 180307,8,1,Q45629645,6000000074749382114,1,1
Q60562,Wei Shi,Tang dynasty person CBDB = 32825,8,1,Q45422247,6000000075337750915,1,1
Q60565,Xue Anqin,Tang dynasty person CBDB = 32827,8,1,Q45422250,6000000074749802829,1,1
Q60568,Xue Anguo,Tang dynasty person CBDB = 32828,8,1,Q45422253,6000000074749108363,1,1
Q60571,Zhangsun Wuzhe,Northern Wei person CBDB = 31058,8,2,Q22814048,6000000075333145082,1,1
Q60580,Changsun Qi,Tang dynasty person CBDB = 31069,8,1,Q45419036,6000000075333255957,1,1
Q60581,"{'language': 'en', 'value': 'Areobindus'}",Roman general (magister militum) and consul of 434,16,5,Q1282468,6000000000700945532,1,1
Q60583,Changsun Cao,Tang dynasty person CBDB = 31071,9,1,Q45419038,6000000075332731332,1,1
Q60619,Guo Xi,Tang dynasty person CBDB = 32351,8,2,Q30948295,6000000074749977277,1,1
Q60628,Wei Kui,Southern Yan person CBDB = 30998,8,1,Q45418912,6000000075327963346,1,1
Q60637,Wei Mou,Tang dynasty person CBDB = 180857,8,1,Q45659766,6000000074759698000,1,1
Q60640,Wei Keyi,Tang dynasty person CBDB = 180954,8,1,Q45664531,6000000074758788777,1,1
Q60643,Wei Houyi,Tang dynasty person CBDB = 180956,8,1,Q45664641,6000000074759175369,1,1
Q60670,Wei Zhi,Tang dynasty person CBDB = 31043,9,2,Q45418993,6000000075328531149,1,1
Q60673,Wei Bin,Tang dynasty person CBDB = 31044,10,2,Q45418994,6000000075329022920,1,1
Q60676,Wei Tao,Tang dynasty person CBDB = 32131,8,1,Q18908909,6000000075328764089,1,1
Q60680,"{'language': 'en', 'value': 'Theodosius II'}",Byzantine Emperor (401–450),85,20,Q160353,6000000006267645324,1,1
Q60703,Wei Kang,Tang dynasty person CBDB = 31046,10,3,Q18908858,6000000075329062998,1,1
Q60706,Wei A,Tang dynasty person CBDB = 31048,8,1,Q45419000,6000000075329243838,1,1
Q60713,"{'language': 'en', 'value': 'Aelia Eudocia'}",Greek Eastern Roman Empress by marriage to Byzantine emperor Theodosius II (c.401-460),46,19,Q229307,6000000006267771300,1,1
Q60739,Wei Mian,Tang dynasty person CBDB = 145667,8,1,Q45472061,6000000075329132984,1,1
Q60746,"{'language': 'en', 'value': 'Constantius III'}",Western Roman Emperor (370-421),63,18,Q201905,6000000006266756400,1,1
Q60766,Yang Xing,Northern Wei person CBDB = 31164,8,1,Q45419208,6000000075337931944,1,1
Q60769,Yang Chongjing,Tang dynasty person CBDB = 31435,8,1,Q19825346,6000000075337930172,1,1
Q60781,Yang Tao,Tang dynasty person CBDB = 31204,8,1,Q45419287,6000000075337990914,1,1
Q60805,Yang Tan,Tang dynasty person CBDB = 32833,8,1,Q45422261,6000000075337768132,1,1
Q60817,Cui Yan,Tang dynasty person CBDB = 32214,8,1,Q45421112,6000000075344057129,1,1
Q60850,Li Kun,Tang dynasty person CBDB = 189358,8,1,Q45556708,6000000075061197929,1,1
Q60853,Li Shi,daughter of Li Li Ze,8,2,Q65803764,6000000075060683083,1,1
Q60856,Li Shi(Daughter of Li Li Ze),daughter of Li Li Ze,8,1,Q65803863,6000000075060847163,1,1
Q60859,Li Shi,,8,0,Q65803897,6000000075061289926,1,1
Q60871,Li Jingyang,Tang dynasty person CBDB = 166732,8,1,Q45463603,6000000074735024058,1,1
Q60874,Li Jingxiang,Tang dynasty person CBDB = 167466,9,1,Q45497575,6000000074735490885,1,1
Q60877,Li Jingshu,Tang dynasty person CBDB = 167473,8,1,Q45497831,6000000074735207981,1,1
Q60878,"{'language': 'en', 'value': 'Aspar'}",Imperial Roman Consul (400-471),49,11,Q361276,6000000007155293220,1,1
Q60880,Li Jingao,Tang dynasty person CBDB = 167474,8,1,Q45497896,6000000074735387002,1,1
Q60895,Li Congzhi,Tang dynasty person CBDB = 188636,8,1,Q45513242,6000000075060131271,1,1
Q60898,Li Congshi,Tang dynasty person CBDB = 188637,8,1,Q45513305,6000000075060820067,1,1
Q60901,Li Conggu,Tang dynasty person CBDB = 188638,8,1,Q45513368,6000000075060876013,1,1
Q60903,Li Congyi,Tang dynasty person CBDB = 188639,8,1,Q45513430,6000000075061268863,1,1
Q60906,Li Congzhong,Tang dynasty person CBDB = 188640,8,1,Q45513493,6000000075061337853,1,1
Q60909,Li Congsu,Tang dynasty person CBDB = 188642,8,1,Q45513620,6000000075060959862,1,1
Q60912,Li Conglu,Tang dynasty person CBDB = 188643,8,1,Q45513684,6000000075061272905,1,1
Q60915,Li Congjian,Tang dynasty person CBDB = 188644,8,1,Q45513747,6000000075061057959,1,1
Q60936,Li Zan,Tang dynasty person CBDB = 188608,7,1,Q45511515,6000000075061381832,1,1
Q60944,"{'language': 'en', 'value': 'Justus'}",father of Roman empress Justina,11,6,Q29603990,6000000005747740478,1,1
Q60951,Li Chuyi,Tang dynasty person CBDB = 188678,8,1,Q45515902,6000000075061479821,1,1
Q60954,Li Chuyou,Tang dynasty person CBDB = 188679,8,1,Q45515965,6000000075061114975,1,1
Q60957,Li Chuwei,Tang dynasty person CBDB = 188680,8,1,Q45516030,6000000075061067020,1,1
Q60960,Li Chuhou,Tang dynasty person CBDB = 188682,8,1,Q45516160,6000000075061316864,1,1
Q60963,Li Chuyue,Tang dynasty person CBDB = 188684,8,1,Q45516286,6000000075061247913,1,1
Q60966,Li Churen,Tang dynasty person CBDB = 188686,8,1,Q18909438,6000000075061031952,1,1
Q60969,Li Churang,Tang dynasty person CBDB = 188688,8,1,Q45516539,6000000075061205900,1,1
Q60972,Li Boya,Tang dynasty person CBDB = 188702,7,1,Q45517268,6000000075061483828,1,1
Q60974,"{'language': 'en', 'value': 'Julia Galla'}",mother of Roman empress Justina,3,3,Q126107314,6000000003828287378,1,1
Q60975,Li Bowen,Tang dynasty person CBDB = 188703,7,1,Q45517333,6000000075061415853,1,1
Q60978,Li Shi,Tang dynasty person CBDB = 188745,7,1,Q45519996,6000000075060210984,1,1
Q60981,Li Huan,Tang dynasty person CBDB = 188746,7,1,Q45520060,6000000075061468855,1,1
Q60984,Li Cheng,Tang dynasty person CBDB = 188747,7,1,Q45520122,6000000075061507840,1,1
Q60987,Li Liao,Tang dynasty person CBDB = 188749,8,1,Q45520248,6000000075060885917,1,1
Q60990,Li Shen,Tang dynasty person CBDB = 188750,7,1,Q45520312,6000000075061306948,1,1
Q60993,Li Yi,Tang dynasty person CBDB = 188759,8,1,Q45520886,6000000075061041971,1,1
Q60996,Li Xun,Tang dynasty person CBDB = 188760,7,1,Q45520947,6000000075061465840,1,1
Q60999,Li Wenli,Tang dynasty person CBDB=188777,7,1,Q45522031,6000000075060885207,1,1
Q61002,Li Wenfang,Tang dynasty person CBDB = 188778,7,1,Q45522095,6000000075060847122,1,1
Q61005,Li Weining,Tang dynasty person CBDB = 188781,7,1,Q45522282,6000000075061516852,1,1
Q61007,Li Weicheng,Tang dynasty person CBDB = 188782,7,1,Q45522345,6000000075061587829,1,1
Q61008,"{'language': 'en', 'value': 'Gratianus Funarius'}","Roman military officer, founder of the Valentinianic dynasty",21,9,Q1254885,6000000006946431249,1,1
Q61010,Li Weiping,Tang dynasty person CBDB = 188783,7,1,Q45522408,6000000075061541857,1,1
Q61013,Li Weiqing,Tang dynasty person CBDB = 188784,8,1,Q45522470,6000000075061293997,1,1
Q61016,Li Renzhong,Tang dynasty person CBDB = 188787,7,1,Q45522662,6000000075061004051,1,1
Q61019,Li Renzhi,Tang dynasty person CBDB = 188788,7,1,Q45522725,6000000075061473889,1,1
Q61022,Li Renyuan,Tang dynasty person CBDB=188789,7,1,Q45522790,6000000075061316898,1,1
Q61025,Li Renshu,Tang dynasty person CBDB = 188790,7,1,Q45522852,6000000075061053988,1,1
Q61028,Li Jiao,Tang dynasty person CBDB = 188794,7,1,Q45523107,6000000075060846090,1,1
Q61031,Li Fang,Tang dynasty person CBDB = 188795,8,1,Q45523172,6000000075060141458,1,1
Q61034,Wu Keyi,,3,0,Q11123850,6000000139199327838,1,1
Q61064,Wu Yun,Tang dynasty person CBDB = 181521,7,1,Q45682649,6000000074771303838,1,1
Q61067,Wu Bin,Tang dynasty person CBDB = 181522,8,1,Q45682680,6000000074770970958,1,1
Q61073,Li Wenzheng,Tang dynasty person CBDB = 32755,7,1,Q45422127,6000000074739515888,1,1
Q61076,Li Wenzheng,Tang dynasty person CBDB = 174383,7,1,Q45599611,6000000074744815886,1,1
Q61079,Li Changjingjin,Tang dynasty person CBDB = 140391,7,1,Q45474814,6000000074738896138,1,1
Q61082,Li Zhenti,Tang dynasty person CBDB = 174391,7,1,Q45600115,6000000074744745847,1,1
Q61085,Li Zhenxun,Tang dynasty person CBDB = 174476,7,1,Q45605259,6000000074744665934,1,1
Q61088,Li Zhenshu,Tang dynasty person CBDB = 174478,7,1,Q45605387,6000000074744768859,1,1
Q61091,Li Quan,Tang dynasty person CBDB = 174480,7,1,Q45605513,6000000074744724874,1,1
Q61094,Li Pei,Tang dynasty person CBDB = 174456,7,1,Q45603993,6000000074739867821,1,1
Q61097,Li Chu,Tang dynasty person CBDB = 174457,7,1,Q45604057,6000000074738212323,1,1
Q61100,Li Wan,Tang dynasty person CBDB = 174458,7,1,Q45604119,6000000074739779863,1,1
